domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
blueboxdigital.com,https://blueboxdigital.com/,info@blueboxdigital.com,info@blueboxdigital.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
bt-versicherung.de,https://www.bt-versicherung.de/,info-ney@bt-versicherung.de ; info@bt-versicherung.de ; info@hafenbude.de,info-ney@bt-versicherung.de ; info@bt-versicherung.de,,,info@hafenbude.de,,Vapi,Vapi,voice,3,valid_mx_email_found,
capitaladvisorsllc.com,https://capitaladvisorsllc.com/,info@capitaladvisorsllc.com,info@capitaladvisorsllc.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
centralspacare.com,https://www.centralspacare.com/,info@centralspacare.com,info@centralspacare.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
centumre.co.ke,https://centumre.co.ke/,info@pearlmarina.co.ug ; info@vipingodevelopment.com ; sales@tworivers.co.ke,,,info@vipingodevelopment.com,info@pearlmarina.co.ug ; sales@tworivers.co.ke,,Vapi,Vapi,voice,3,valid_mx_email_found,
charcoalexpress.app,https://charcoalexpress.app/,support@charcoalexpress.app,support@charcoalexpress.app,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
chattanoogaseptictank.com,https://chattanoogaseptictank.com/,service@chattanoogaseptictank.com,service@chattanoogaseptictank.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
chicagostrolley.com,https://chicagostrolley.com/,service@chicagostrolley.com,service@chicagostrolley.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
cloud7itservices.ca,https://cloud7itservices.ca/,info@cloud7itservices.ca,info@cloud7itservices.ca,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
commercialcapitalmarket.com,https://commercialcapitalmarket.com/,info@commercialcapitalmarkets.com,,,,info@commercialcapitalmarkets.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
counselkraft.com,https://counselkraft.com/,admin@glitzinn.in ; info@counselkraft.com,info@counselkraft.com,,,admin@glitzinn.in,,Vapi,Vapi,voice,2,valid_mx_email_found,
ctagency.com.au,https://ctagency.com.au/,sales@ctagency.com.au,sales@ctagency.com.au,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
dealflowagent.com,https://www.dealflowagent.com/,hello@dealflowagent.com,hello@dealflowagent.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
deepgrooves.eu,https://deepgrooves.eu/,info@bwhontwerpers.nl ; info@deepgrooves.eu ; support@deepgrooves.eu,info@deepgrooves.eu ; support@deepgrooves.eu,,,info@bwhontwerpers.nl,,Vapi,Vapi,voice,3,valid_mx_email_found,
digitalagents.ca,https://digitalagents.ca/,hello@digitalagent.ae ; info@digitalagents.ca,info@digitalagents.ca,,,hello@digitalagent.ae,,Vapi,Vapi,voice,2,valid_mx_email_found,
drjeromeparis.ae,https://drjeromeparis.ae/,contact@drjeromeparis.ae,contact@drjeromeparis.ae,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
edgepointagency.org,https://edgepointagency.org/,hello@edgepointagency.org,hello@edgepointagency.org,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
evghost.com,https://evghost.com/,admin@yoursite.com ; info@yoursite.com,,,admin@yoursite.com ; info@yoursite.com,,,Vapi,Vapi,voice,2,valid_mx_email_found,
fdk-fastdatakeys.com,https://fdk-fastdatakeys.com/,contact@fdk-fastdatakeys.com,contact@fdk-fastdatakeys.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
fieldax.com,https://www.fieldax.com/,support@merfantz.com,,,,support@merfantz.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
garnerfinancialpartners.com,https://garnerfinancialpartners.com/,contact@garnerfinancialpartners.com,contact@garnerfinancialpartners.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
gdiaicaller.com,https://gdiaicaller.com/,info@gdiaicaller.com,info@gdiaicaller.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
ghlvoice.com,https://ghlvoice.com/,support@ghlvoice.com,support@ghlvoice.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
giftenergy.hu,https://www.giftenergy.hu/,info@domainem.hu,,,,info@domainem.hu,,Vapi,Vapi,voice,1,valid_mx_email_found,
graphic-redesign-llc.webflow.io,https://graphic-redesign-llc.webflow.io/,hello@example.com ; support@graphicredesign.com,,,hello@example.com ; support@graphicredesign.com,,,Vapi,Vapi,voice,2,valid_mx_email_found,
graphicredesign.com,https://graphicredesign.com/,support@graphicredesign.com,support@graphicredesign.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
greenstarsolar.co.uk,https://www.greenstarsolar.co.uk/,info@greenstarsolar.co.uk,info@greenstarsolar.co.uk,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
haulheroautotransport.com,https://www.haulheroautotransport.com/,sales@haulheroautotransport.com,sales@haulheroautotransport.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
homeoftraining.com,https://homeoftraining.com/,info@homeoftraining.com ; support@homeoftraining.com,info@homeoftraining.com ; support@homeoftraining.com,,,,,Vapi,Vapi,voice,2,valid_mx_email_found,
hotel-dresden-schillerplatz.de,https://hotel-dresden-schillerplatz.de/,info@hotel-dresden-schillerplatz.de,info@hotel-dresden-schillerplatz.de,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
invincibleapp.com,https://www.invincibleapp.com/,hello@invincibleapp.com,hello@invincibleapp.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
jawlat.com.sa,https://jawlat.com.sa/,info@jawlat.com.sa,info@jawlat.com.sa,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
karmaart.org,https://www.karmaart.co/,info@karmaart.com,,,,info@karmaart.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
kavis.co.in,https://kavis.co.in/,hello@kavis.co.in,hello@kavis.co.in,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
kunjunni.com,https://kunjunni.com/,hello@example.com ; info@example.com,,,hello@example.com ; info@example.com,,,Vapi,Vapi,voice,2,valid_mx_email_found,
lcsfinancialgps401kadministration.com,https://lcsfinancialgps401kadministration.com/,service@admin316.com,,,,service@admin316.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
localdomus.com,https://www.localdomus.com/,info@localdomus.com,info@localdomus.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
madnesstravel.com,https://madnesstravel.com/,info@madnesstravel.com,info@madnesstravel.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
maidinaminutellc.com,https://maidinaminutellc.com/,info@maidinaminutellc.com,info@maidinaminutellc.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
malla.io,https://malla.io/,info@malla.agency,,,info@malla.agency,,,Vapi,Vapi,voice,1,valid_mx_email_found,
mattisconsulting.com,https://mattisconsulting.com/,support@mattisconsulting.com,support@mattisconsulting.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
menmozhi.com,https://menmozhi.com/,contact@menmozhi.com,contact@menmozhi.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
mitjansmoving.com,https://mitjansmoving.com/es/,info@mitjansmoving.com,info@mitjansmoving.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
morefreetimebookkeeping.com,https://www.morefreetimebookkeeping.com/,hello@morefreetimebookkeeping.com,hello@morefreetimebookkeeping.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
mundodonto.com,https://mundodonto.com/es,hello@hoomina.com ; info@mundodonto.com,info@mundodonto.com,,,hello@hoomina.com,,Vapi,Vapi,voice,2,valid_mx_email_found,
neosisagent.com,https://neosisagent.com/,contact@neosis.io,,,,contact@neosis.io,,Vapi,Vapi,voice,1,valid_mx_email_found,
nestflowai.com,https://www.nestflowai.com/,contact@nestflowai.com,contact@nestflowai.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
nhycetech.com,https://nhycetech.com/,info@nhycetech.com,info@nhycetech.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
noorabot.com,https://noorabot.com/,sales@noorabot.com,sales@noorabot.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
odinrideshare.com,https://odinrideshare.com/,info@autoronics.com,,,,info@autoronics.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
odlyn.com,https://odlyn.com/,hello@odlyn.com,hello@odlyn.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
olaf-hahn.de,https://olaf-hahn.de/,info@hahn-process-automation.de,,,,info@hahn-process-automation.de,,Vapi,Vapi,voice,1,valid_mx_email_found,
onuma.eu,https://www.onuma.eu/de,info@onuma.eu,info@onuma.eu,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
orbitestates.net,https://www.orbitestates.net/,info@mysite.com,,,info@mysite.com,,,Vapi,Vapi,voice,1,valid_mx_email_found,
ostan.ca,https://ostan.ca/,info@ostan.ca,info@ostan.ca,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
ozaihub.com,https://ozaihub.com/,contact@ozaihub.com,contact@ozaihub.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
pandentalsurgery.com,https://pandentalsurgery.com/,hr@pandentalsurgery.com,hr@pandentalsurgery.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
piscineguru.com,https://piscineguru.com/,info@piscineguru.com,info@piscineguru.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
positivemindcare.com,https://positivemindcare.com/,contact@positivemindcare.com,contact@positivemindcare.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
priolanita.com,https://priolanita.com/,info@priolanita.hu,,,,info@priolanita.hu,,Vapi,Vapi,voice,1,valid_mx_email_found,
pulzcomm.com,https://pulzcomm.com/,info@pulzcom.com,,,,info@pulzcom.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
quotetobook.com,https://quotetobook.com/,info@quotetobook.com,info@quotetobook.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
qvqai.com,https://qvqai.com/,contact@beqodia.com ; contact@qvqai.com,contact@qvqai.com,,contact@beqodia.com,,,Vapi,Vapi,voice,2,valid_mx_email_found,
rahtid.ai,https://rahtid.ai/,info@rahtidai.com,,,,info@rahtidai.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
redcliffe-ai.com,https://redcliffe-ai.com/,office@redcliffe-ai.com,office@redcliffe-ai.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
rightnowia.com,https://www.rightnowia.com/,contact@rightnowia.com,contact@rightnowia.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
sharonrestrepo.com,https://www.sharonrestrepo.com,info@sharonrestrepo.com,info@sharonrestrepo.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
shawandco.com,https://www.shawandco.com/,info@shawandco.com,info@shawandco.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
solvenvoice.com,https://solvenvoice.com/,contact@solvenvoice.com,contact@solvenvoice.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
summerviajesde11.com,https://summerviajesde11.com/,contact@mysite.com,,,contact@mysite.com,,,Vapi,Vapi,voice,1,valid_mx_email_found,
sumokey.com,https://sumokey.com/,sales@sumokey.com ; support@sumokey.com,sales@sumokey.com ; support@sumokey.com,,,,,Vapi,Vapi,voice,2,valid_mx_email_found,
sumokey.myshopify.com,https://sumokey.myshopify.com/,sales@sumokey.com ; support@sumokey.com,,,sales@sumokey.com ; support@sumokey.com,,,Vapi,Vapi,voice,2,valid_mx_email_found,
svizona.ae,https://svizona.ae/,contact@svizona.ae,contact@svizona.ae,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
thefuturestudio.online,https://thefuturestudio.online/,info@thefuturestudio.online,info@thefuturestudio.online,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
topoftown.com.au,https://topoftown.com.au/,info@topoftown.com.au,info@topoftown.com.au,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
travelhack.global,https://travelhack.global/,support@travelhack.global,support@travelhack.global,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
ukafricatradexpo.co.uk,https://ukafricatradexpo.co.uk/,info@ukafricatradexpo.co.uk,info@ukafricatradexpo.co.uk,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
uselumara.com,https://uselumara.com/,hello@uselumara.com ; support@uselumara.com,hello@uselumara.com ; support@uselumara.com,,,,,Vapi,Vapi,voice,2,valid_mx_email_found,
valuemybusiness.com,https://valuemybusiness.com/,hello@valuemybusiness.com,hello@valuemybusiness.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
vdms.au,https://www.vdms.au/,sales@vdms.com.au,,,sales@vdms.com.au,,,Vapi,Vapi,voice,1,valid_mx_email_found,
vdms.com.au,https://www.vdms.com.au/,sales@vdms.com.au,sales@vdms.com.au,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
vdms.nz,https://www.vdms.nz/,sales@vdms.com.au,,,sales@vdms.com.au,,,Vapi,Vapi,voice,1,valid_mx_email_found,
vipingodevelopment.com,https://vipingodevelopment.com/,info@vipingodevelopment.com,info@vipingodevelopment.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
virtuo.in,https://virtuo.in/,sales@virtuo.in ; support@virtuo.in,sales@virtuo.in ; support@virtuo.in,,,,,Vapi,Vapi,voice,2,valid_mx_email_found,
voxeai.com,https://voxeai.com/,info@voxemarketing.com,,,,info@voxemarketing.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
voxnova.tech,https://www.voxnova.tech/,contact@voxnova.tech,contact@voxnova.tech,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
voxrush.com,https://voxrush.com/,info@voxrush.com,info@voxrush.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
webmaxx.hu,https://www.webmaxx.hu/,info@webmaxx.hu,info@webmaxx.hu,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
workwithaj.dev,https://workwithaj.dev/,contact@workwithaj.dev,contact@workwithaj.dev,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
