domain,competitors,categories,publicwww_ranks,homepage_url,pages_checked,robots_status,http_status,site_domain_valid_mx_emails,parent_company_valid_mx_emails,shared_external_valid_mx_emails,external_company_valid_mx_emails,all_valid_mx_emails,email_count,email_status,notes
active-interest-media.breezy.hr,Breezy HR,hirevue,>30M,https://active-interest-media.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
acubed.cloud,Vapi,voice,>30M,https://acubed.cloud/,1,unavailable,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aculocity.com,Jobvite,hirevue,5398356,https://www.aculocity.com/,3,unavailable,200,info@aculocity.com,,,,info@aculocity.com,1,valid_mx_email_found,
acumbamail.com,Ahrefs,target,72039,https://acumbamail.com/,2,ok,200,soporte@acumbamail.com,,,,soporte@acumbamail.com,1,valid_mx_email_found,
acutehat.com,CodeSignal,hirevue,>30M,https://acutehat.com/,1,unavailable,200,hello@acutehat.com,,your@email.com,,hello@acutehat.com ; your@email.com,2,valid_mx_email_found,
acworthflorist.com,Breezy HR,hirevue,>30M,https://acworthflorist.com/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
adagio.com,Ahrefs,target,113021,https://www.adagio.com/,6,ok,200,info@adagio.com ; jobs@adagio.com,,,,info@adagio.com ; jobs@adagio.com,2,valid_mx_email_found,
adamandevedayspaja.com,ElevenLabs Agents ; ElevenLabs element,target,5914897,https://adamandevedayspaja.com/,1,unavailable,202,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
adapt.breezy.hr,Breezy HR,hirevue,>30M,https://adapt.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
adayonthegreen.com.au,Ahrefs,target,587857,https://www.adayonthegreen.com.au/,7,ok,200,hello@adayonthegreen.com.au,,,info@roundhouse.com.au,hello@adayonthegreen.com.au ; info@roundhouse.com.au,2,valid_mx_email_found,
adikam.com,ElevenLabs element,target,9827678,https://adikam.com/,1,ok,200,adikam@adikam.com,,,,adikam@adikam.com,1,valid_mx_email_found,
adityalahiri.github.io,CodeSignal,hirevue,>30M,https://adityalahiri.github.io/,1,unavailable,200,,,,,adityalahiri13@gmail.com,1,valid_mx_email_found,
adityasuman.com,Vapi,voice,>30M,https://adityasuman.com/,1,unavailable,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
adoc-tm.breezy.hr,Breezy HR,hirevue,>30M,https://adoc-tm.breezy.hr/,3,ok,200,,,you@mycompany.com,,you@mycompany.com,1,valid_mx_email_found,
adquick.breezy.hr,Breezy HR,hirevue,>30M,https://adquick.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
adsrecruit.com,Breezy HR,hirevue,13767330,https://adsrecruit.com/,4,ok,200,clientrelations@adsrecruit.com,,,,clientrelations@adsrecruit.com,1,valid_mx_email_found,
adstudio.eu,ElevenLabs Agents ; ElevenLabs element,target,7861051,https://adstudio.eu/,2,ok,200,ad@adstudio.eu,,,,ad@adstudio.eu,1,valid_mx_email_found,
advance-financial.breezy.hr,Breezy HR,hirevue,>30M,https://advance-financial.breezy.hr/,2,ok,200,,,you@mycompany.com,,you@mycompany.com,1,valid_mx_email_found,
advanced-crypto-services-inc.breezy.hr,Breezy HR,hirevue,>30M,https://advanced-crypto-services-inc.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
advancedmedicalcertification.com,Ahrefs,target,496870,https://advancedmedicalcertification.com/,8,ok,200,,,administration@advmedcert.com ; customerservice@advmedcert.com,,administration@advmedcert.com ; customerservice@advmedcert.com,2,valid_mx_email_found,
advancing-beyond-the-spectrum.breezy.hr,Breezy HR,hirevue,>30M,https://advancing-beyond-the-spectrum.breezy.hr/,2,ok,200,,,,hr@abstherapy.org,hr@abstherapy.org,1,valid_mx_email_found,
advekit.breezy.hr,Breezy HR,hirevue,>30M,https://advekit.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
advertisingvietnam.com,Ahrefs,target,288312,,0,blocked,,,,,,,0,no_public_email_found,robots.txt blocked
advisorengine.breezy.hr,Breezy HR,hirevue,>30M,https://advisorengine.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
advocado.de,Ahrefs,target,178742,https://www.advocado.de/,3,ok,200,,,info@advocado.com ; lottie-player@2.0.2 ; service@advocado.com,lottie-interactivity@1.6.2 ; mail@verbraucher-schlichter.de,info@advocado.com ; lottie-interactivity@1.6.2 ; lottie-player@2.0.2 ; mail@verbraucher-schlichter.de ; service@advocado.com,5,valid_mx_email_found,
aerohealthcare.com,Ahrefs,target,834221,https://aerohealthcare.com/,9,ok,200,privacy@aerohealthcare.com ; sales@aerohealthcare.com,,,sales@aerohealthcare.co.uk ; sales@aerohealthcare.us.com,privacy@aerohealthcare.com ; sales@aerohealthcare.co.uk ; sales@aerohealthcare.com ; sales@aerohealthcare.us.com,4,valid_mx_email_found,
aeronbranding.com,Ahrefs,target,807722,https://aeronbranding.com/,6,ok,200,enquiries@aeronbranding.com ; matthew.millardbeer@aeronbranding.com,,,,enquiries@aeronbranding.com ; matthew.millardbeer@aeronbranding.com,2,valid_mx_email_found,
aeroseal.breezy.hr,Breezy HR,hirevue,>30M,https://aeroseal.breezy.hr/,2,ok,200,,,you@mycompany.com,,you@mycompany.com,1,valid_mx_email_found,
af.breezy.hr,Breezy HR,hirevue,>30M,https://af.breezy.hr/,2,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
affikatsu.com,Ahrefs,target,150627,https://affikatsu.com/,9,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
afoitserkezidis.com,Vapi,voice,>30M,https://afoitserkezidis.com/,1,ok,200,info@afoitserkezidis.com,,,info@tserkezidisrecycle.com,info@afoitserkezidis.com ; info@tserkezidisrecycle.com ; tserkezidisnicos@gmail.com,3,valid_mx_email_found,
africanlottery.net,Ahrefs,target,480415,https://www.africanlottery.net/,4,ok,200,admin@africanlottery.net,,,,admin@africanlottery.net,1,valid_mx_email_found,
afroginthefjord.com,Ahrefs,target,321794,https://afroginthefjord.com/,7,ok,200,sales@afroginthefjord.com,,,,sales@afroginthefjord.com,1,valid_mx_email_found,
afterhoursbooked.com,Retell AI,voice,>30M,https://afterhoursbooked.com/,2,ok,200,hello@afterhoursbooked.com,,,,hello@afterhoursbooked.com,1,valid_mx_email_found,
agapehair-wellness.com,Breezy HR,hirevue,>30M,https://www.agapehair-wellness.com/,4,ok,200,info@agapehair-wellness.com,,,,info@agapehair-wellness.com,1,valid_mx_email_found,
agaysex.com,Ahrefs,target,118785,https://www.agaysex.com/,5,ok,200,copyright@agaysex.com ; webmaster@agaysex.com,,,user@host.com,copyright@agaysex.com ; user@host.com ; webmaster@agaysex.com,3,valid_mx_email_found,
agenda-for-children.breezy.hr,Breezy HR,hirevue,>30M,https://agenda-for-children.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
agentonone.com,Vapi,voice,>30M,https://agentonone.com/cgi-sys/suspendedpage.cgi,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
agfahealthcare.com,Ahrefs,target,81149,https://www.agfahealthcare.com/,5,ok,200,,,compliance@agfa.com ; ispriskmanagerhealthcare@agfa.com ; slick-carousel@1.8.1,,compliance@agfa.com ; ispriskmanagerhealthcare@agfa.com ; slick-carousel@1.8.1,3,valid_mx_email_found,
agria.dk,Ahrefs,target,556066,https://agria.dk/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
agria.se,Ahrefs,target,190063,https://agria.se/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
agricapture.breezy.hr,Breezy HR,hirevue,>30M,https://agricapture.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
agriculturecanada1.hiringplatform.ca,VidCruiter,hirevue,>30M,,0,ok,,,,,,,0,no_public_email_found,homepage disallowed by robots.txt
ahegao.online,Ahrefs,target,46985,https://ahegao.online/,3,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
ai-automation-solution.com,Vapi,voice,>30M,https://ai-automation-solution.com/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
ai78.cn,CodeSignal,hirevue,>30M,https://ai78.cn/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
ai78.com,CodeSignal,hirevue,>30M,https://ai78.com/,0,unavailable,0,,,,,,0,no_public_email_found,SSLError
aiacademyforbeginners.com,Vapi,voice,>30M,https://aiacademyforbeginners.com/,5,ok,200,hello@aiacademyforbeginners.com ; partnerships@aiacademyforbeginners.com,,,,hello@aiacademyforbeginners.com ; partnerships@aiacademyforbeginners.com,2,valid_mx_email_found,
aialive.app,Vapi,voice,>30M,https://aialive.app/,3,ok,200,admin@aialive.app ; keenan@aialive.app ; sam@aialive.app ; support@aialive.app,,,,admin@aialive.app ; keenan@aialive.app ; sam@aialive.app ; support@aialive.app,4,valid_mx_email_found,
aiapexsoft.com,Vapi,voice,>30M,https://aiapexsoft.com/,1,unavailable,200,contact@aiapexsoft.com,,,,contact@aiapexsoft.com,1,valid_mx_email_found,
aibytel.com,Vapi,voice,>30M,https://aibytel.com/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
aicallagent.world,Vapi,voice,>30M,https://aicallagent.world/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectTimeout
aidedd.org,Ahrefs,target,114758,https://www.aidedd.org/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aideepeconomics.online,Vapi,voice,>30M,https://aideepeconomics.online/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectTimeout
aidemo.smartoptimize.ai,Vapi,voice,>30M,https://aidemo.smartoptimize.ai/,3,ok,200,,,,michael@smartoptimize.ai,michael@smartoptimize.ai,1,valid_mx_email_found,
aijobs.com,Breezy HR,hirevue,21867117,https://www.aijobs.com,9,ok,200,,,accommodations@adobe.com ; careers@coreweave.com ; recruiting@defconai.com ; recruiting@redcellpartners.com ; u003e@redcellpartners.com ; u003eaccommodations@adobe.com ; u003ecareers@coreweave.com ; u003erecruiting@defconai.com ; you@email.com,u003ehiringaccommodations@thunderbird.net,accommodations@adobe.com ; careers@coreweave.com ; recruiting@defconai.com ; recruiting@redcellpartners.com ; u003e@redcellpartners.com ; u003eaccommodations@adobe.com ; u003ecareers@coreweave.com ; u003ehiringaccommodations@thunderbird.net ; u003erecruiting@defconai.com ; you@email.com,10,valid_mx_email_found,
ailabsafrica.com,Vapi,voice,>30M,https://ailabsafrica.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
ailo.breezy.hr,Breezy HR,hirevue,>30M,https://breezy.hr/,1,ok,200,,,support@breezyhr.com,,support@breezyhr.com,1,valid_mx_email_found,
aimythe.com,Retell AI,voice,>30M,https://aimythe.com/,1,ok,200,hello@aimythe.com,,votre@email.com ; your@email.com,vous@entreprise.com,hello@aimythe.com ; votre@email.com ; vous@entreprise.com ; your@email.com,4,valid_mx_email_found,
aiona.in,Vapi,voice,>30M,https://aiona.in/,1,unavailable,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aireception.net,Vapi,voice,>30M,https://aireception.net/,1,ok,200,hello@aireception.net,,,,hello@aireception.net,1,valid_mx_email_found,
airngo.no,Ahrefs,target,673036,,0,ok,,,,,,,0,no_public_email_found,homepage disallowed by robots.txt
airport-frankfurt-am-main.com,Ahrefs,target,856481,https://www.airport-frankfurt-am-main.com/,1,ok,200,,,info@example.com,,info@example.com,1,valid_mx_email_found,
airportrentals.com,Ahrefs,target,217918,https://www.airportrentals.com/,5,ok,200,,,accounts@goseetravel.com ; accounts@onlinerepublic.com ; personaldata@webjetgroup.com,,accounts@goseetravel.com ; accounts@onlinerepublic.com ; personaldata@webjetgroup.com,3,valid_mx_email_found,
airsoftarmoury.dk,Ahrefs,target,733014,https://www.airsoftarmoury.dk/,1,ok,200,kontakt@airsoftarmoury.dk,,,,kontakt@airsoftarmoury.dk,1,valid_mx_email_found,
airvisits.com,Breezy HR,hirevue,>30M,https://www.airvisits.com,4,unavailable,200,,,,admin@telemedicine911.com,admin@telemedicine911.com,1,valid_mx_email_found,
aisell.kz,ElevenLabs Agents ; ElevenLabs element,target,2990833,https://aisell.kz/,0,unavailable,0,,,,,,0,no_public_email_found,ConnectionError
aisolutiondesk.com,Vapi,voice,>30M,https://www.aisolutiondesk.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aita-ai.com,Vapi,voice,>30M,https://aita-ai.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aivryagency.com,Vapi,voice,>30M,https://aivryagency.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aixmetrix.com,Retell AI,voice,>30M,https://aixmetrix.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aja-labs-inc.breezy.hr,Breezy HR,hirevue,>30M,https://aja-labs-inc.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
akbmag.ru,Ahrefs,target,377103,https://akbmag.ru/,5,ok,200,beznal@akbmag.ru ; chief@akbmag.ru ; opt@akbmag.ru ; shop@akbmag.ru,,rating@mail.ru,,beznal@akbmag.ru ; chief@akbmag.ru ; opt@akbmag.ru ; rating@mail.ru ; shop@akbmag.ru,5,valid_mx_email_found,
akronnphc.org,Breezy HR,hirevue,>30M,https://akronnphc.org/,2,unavailable,200,,,,team@latofonts.com,impallari@gmail.com ; team@latofonts.com,2,valid_mx_email_found,
alaakhalefa.com,ElevenLabs Agents ; ElevenLabs element,target,14496632,https://alaakhalefa.com/,1,ok,200,hello@alaakhalefa.com,,,,hello@alaakhalefa.com,1,valid_mx_email_found,
alaiwa.com,Vapi,voice,>30M,https://alaiwa.com/,5,ok,200,phillippe@alaiwa.com,,,,phillippe@alaiwa.com,1,valid_mx_email_found,
alarmrelay.com,Ahrefs,target,459932,,0,blocked,,,,,,,0,no_public_email_found,robots.txt blocked
alasco.breezy.hr,Breezy HR,hirevue,>30M,https://alasco.breezy.hr/,5,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
alberta-biodiversity-monitoring-institute.breezy.hr,Breezy HR,hirevue,>30M,https://alberta-biodiversity-monitoring-institute.breezy.hr/,1,ok,200,,,joshua.logel@innotechalberta.ca ; kerra.nisbet@innotechalberta.ca,,joshua.logel@innotechalberta.ca ; kerra.nisbet@innotechalberta.ca,2,valid_mx_email_found,
alchemy.works,Breezy HR,hirevue,>30M,https://alchemy.works/,4,ok,200,,,,hi@nectar.inc,hi@nectar.inc,1,valid_mx_email_found,
alcoholprofessor.com,Ahrefs,target,483762,https://www.alcoholprofessor.com/,3,ok,200,,,,adam@eatdrinklearn.com ; allison@pleasethepalate.com ; rebecca@rfpublicrelations.com ; ryan@blankglass.com,adam@eatdrinklearn.com ; allison@pleasethepalate.com ; andrew.tobia@gmail.com ; rebecca@rfpublicrelations.com ; ryan@blankglass.com,5,valid_mx_email_found,
alconost-inc.breezy.hr,Breezy HR,hirevue,>30M,https://alconost-inc.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
aldia.cat,Ahrefs,target,338424,https://www.aldia.cat/,5,ok,200,,,protecciondedatos@europapress.es,,protecciondedatos@europapress.es,1,valid_mx_email_found,
alegra.breezy.hr,Breezy HR,hirevue,>30M,https://alegra.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
alejandrocaguirre.com,ElevenLabs Agents,target,20870332,https://alejandrocaguirre.com/,1,ok,200,president@alejandrocaguirre.com,,,,president@alejandrocaguirre.com,1,valid_mx_email_found,
alfaisal.edu,Ahrefs,target,215212,,0,ok,,,,,,,0,no_public_email_found,homepage disallowed by robots.txt
algebrik.com,ElevenLabs Agents ; ElevenLabs element,target,1332846,https://algebrik.com/,4,ok,200,letschat@algebrik.com,,,,letschat@algebrik.com,1,valid_mx_email_found,
align-custom-fit-footwear-footcare.breezy.hr,Breezy HR,hirevue,>30M,https://align-custom-fit-footwear-footcare.breezy.hr/,3,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
alkafeelomnnea.com,ElevenLabs Agents ; ElevenLabs element,target,598492,https://alkafeelomnnea.com/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
all-about-kids.breezy.hr,Breezy HR,hirevue,>30M,https://all-about-kids.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
all5s.com,Jobvite,hirevue,>30M,https://all5s.com/,3,ok,200,info@all5s.com,,,,info@all5s.com,1,valid_mx_email_found,
allaces.com.au,ElevenLabs element,target,7697870,,0,blocked,,,,,,,0,no_public_email_found,robots.txt blocked
allegiant-stadium.breezy.hr,Breezy HR,hirevue,>30M,https://allegiant-stadium.breezy.hr/,2,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
alliancebank.com.my,Ahrefs,target,201506,https://www.alliancebank.com.my/,9,ok,200,,,,info@alliancefg.com,info@alliancefg.com,1,valid_mx_email_found,
alliant.com,Jobvite,hirevue,>30M,https://alliant.com/,9,ok,200,alex.littlejohn@alliant.com ; alliant-privacy@alliant.com ; chelsea.saraf@alliant.com ; hr@alliant.com ; jmannino@alliant.com ; megan.ford@alliant.com ; nkopinga@alliant.com,,jane@company.com ; jany@company.com,,alex.littlejohn@alliant.com ; alliant-privacy@alliant.com ; chelsea.saraf@alliant.com ; hr@alliant.com ; jane@company.com ; jany@company.com ; jmannino@alliant.com ; megan.ford@alliant.com ; nkopinga@alliant.com,9,valid_mx_email_found,
allievmswidget.blog,Vapi,voice,>30M,https://allievmswidget.blog/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
alljobportal.com,Breezy HR,hirevue,>30M,https://alljobportal.com/,7,ok,200,partnerships@alljobportal.com ; support@alljobportal.com,,,,partnerships@alljobportal.com ; support@alljobportal.com,2,valid_mx_email_found,
allstardrivereducation.com,Ahrefs,target,669014,https://allstardrivereducation.com/,0,ok,403,,,,,,0,no_public_email_found,http_error
almaden-genomics.breezy.hr,Breezy HR,hirevue,>30M,https://almaden-genomics.breezy.hr/,1,ok,200,,,,,,0,no_public_email_found,no public email found on homepage/contact pages or snippets
almashhadalaraby.com,Ahrefs,target,496340,https://almashhadalaraby.com/,2,ok,200,info@almashhadalaraby.com,,,,info@almashhadalaraby.com,1,valid_mx_email_found,
