domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
gzsyjjc.com,https://www.gzsyjjc.com/,au-sales@element14.com ; china.support@digikey.com ; cn-sales@element14.com ; eu.support@digikey.com ; hk-sales@element14.com ; hongkong.support@digikey.com ; in-sales@element14.com ; info@alcom.be ; info@alcom.nl ; info@ccontrols.pl ; info@crestonegroup.com ; info@flipelectronics.com ; info@go2ts.com ; info@hte.cz ; info@hte.sk ; info@hteurep.si ; info@victorysales.com ; israel.support@digikey.com ; japan.support@digikey.com ; korea.support@digikey.com ; kr-sales@element14.com ; malaysia.support@digikey.com ; my-sales@element14.com ; nz-sales@element14.com ; ph-sales@element14.com ; sales@clearcommsales.com ; sales@data-jce.com ; sales@digikey.com ; sales@edomtech.com ; sales@elina.co.il ; sales@glyn-nordic.dk ; sales@glyn.at ; sales@glyn.ch ; sales@glyn.de ; sales@glyn.hu ; sales@glyn.pl ; sales@glyn.se ; sales@hmdkorea.com ; sales@linknordic.com ; sales@logixsales.com ; sales@mouser.com ; sales@newark.com ; sales@tnbtech.co.kr ; service@sekorm.com ; sg-sales@element14.com ; singapore.support@digikey.com ; spanish.support@digikey.com ; support@progate.co.kr ; taiwan.support@digikey.com ; th-sales@element14.com ; tw-sales@element14.com,,,au-sales@element14.com ; china.support@digikey.com ; cn-sales@element14.com ; eu.support@digikey.com ; hk-sales@element14.com ; hongkong.support@digikey.com ; in-sales@element14.com ; info@alcom.be ; info@go2ts.com ; info@victorysales.com ; israel.support@digikey.com ; japan.support@digikey.com ; korea.support@digikey.com ; kr-sales@element14.com ; malaysia.support@digikey.com ; my-sales@element14.com ; nz-sales@element14.com ; ph-sales@element14.com ; sales@digikey.com ; sales@glyn.de ; sales@mouser.com ; sales@newark.com ; sg-sales@element14.com ; singapore.support@digikey.com ; spanish.support@digikey.com ; taiwan.support@digikey.com ; th-sales@element14.com ; tw-sales@element14.com,info@alcom.nl ; info@ccontrols.pl ; info@crestonegroup.com ; info@flipelectronics.com ; info@hte.cz ; info@hte.sk ; info@hteurep.si ; sales@clearcommsales.com ; sales@data-jce.com ; sales@edomtech.com ; sales@elina.co.il ; sales@glyn-nordic.dk ; sales@glyn.at ; sales@glyn.ch ; sales@glyn.hu ; sales@glyn.pl ; sales@glyn.se ; sales@hmdkorea.com ; sales@linknordic.com ; sales@logixsales.com ; sales@tnbtech.co.kr ; service@sekorm.com ; support@progate.co.kr,,Jobvite,Jobvite,hirevue,51,valid_mx_email_found,
hdpartsnet.com,https://hdpartsnet.com/,sales@newlifeparts.com,,,sales@newlifeparts.com,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
hintoninvestments.com,https://www.hintoninvestments.com/,info@hti.biz,,,,info@hti.biz,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
infoblox.com,https://www.infoblox.com/,info@infoblox.com ; sales-anz@infoblox.com ; sales-india@infoblox.com ; sales-korea@infoblox.com ; sales-sin@infoblox.com,info@infoblox.com ; sales-anz@infoblox.com ; sales-india@infoblox.com ; sales-korea@infoblox.com ; sales-sin@infoblox.com,,,,,Jobvite,Jobvite,hirevue,5,valid_mx_email_found,
ioactive.com,https://www.ioactive.com/,info@ioactive.com,info@ioactive.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
iqgroup.com.au,https://iqgroup.com.au/,info@iqgroup.com.au,info@iqgroup.com.au,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
keystonepm.com,https://www.keystonepm.com/,kpm_sales@keystonepm.com,kpm_sales@keystonepm.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
kodiak.com,https://kodiak.com/,info@kodiak.com,info@kodiak.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
lemanmanhattan.org,https://lemanmanhattan.org/,info@lemanmanhattan.org,info@lemanmanhattan.org,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
lex-jobs.com,https://lex-jobs.com/,contact@lodynlabs.com ; recruit@lexmark.com,,,,contact@lodynlabs.com ; recruit@lexmark.com,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
lieb-management.de,https://lieb-management.de/,info@lieb-management.de,info@lieb-management.de,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
matson.com,https://www.matson.com/,customerservice@matson.com,customerservice@matson.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
mcclatchy.com,https://mcclatchy.com/,customerservice@mcclatchy.com,customerservice@mcclatchy.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
merrimacvalley.com,https://merrimacvalley.com/,info@merrimacvalley.com,info@merrimacvalley.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
midislandvet.com,https://midislandvet.com/,info@midislandvet.com,info@midislandvet.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
minicircuits.com,https://minicircuits.com/,sales@minicircuits.com,sales@minicircuits.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
momentummontessori.ca,https://momentummontessori.ca/,admin@momentummontessori.ca,admin@momentummontessori.ca,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
nationalsoccerhof.com,https://www.nationalsoccerhof.com/,info@nationalsoccerhof.com,info@nationalsoccerhof.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
neighbortofamily.org,https://www.neighbortofamily.org/,info@ntf.org,,,,info@ntf.org,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
newlifeparts.com,https://newlifeparts.com/,sales@newlifeparts.com,sales@newlifeparts.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
nypublicradio.org,https://nypublicradio.org/,press@wnyc.org,,,,press@wnyc.org,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
orangeveterinaryhospital.com,https://orangeveterinaryhospital.com/,hello@orangevets.com,,,,hello@orangevets.com,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
pathwayhq.com,https://pathwayhq.com/,hello@pathwayhq.com,hello@pathwayhq.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
playstudios.com,https://www.playstudios.com/,support@playstudios.com,support@playstudios.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
redwoodconst.com,https://redwoodconst.com/,info@redwoodconst.com,info@redwoodconst.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
rkmissioncritical.com,https://www.rkmissioncritical.com/,sales@rkmissioncritical.com,sales@rkmissioncritical.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
roadparts.com,https://roadparts.com/,sales@roadparts.com,sales@roadparts.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
rtmoore.com,https://rtmoore.com/,service@rtmoore.com,service@rtmoore.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
sandimaspetclinic.com,https://www.lonehillvet.com/,info@lonehillvet.com,,,,info@lonehillvet.com,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
sellen.com,https://www.sellen.com/,info@sellen.com,info@sellen.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
sewsus.com,https://sewsus.com/,info@sewsus.com ; webmaster@sewsus.com,info@sewsus.com ; webmaster@sewsus.com,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
sikich.com,https://www.sikich.com/,info@sikich.com,info@sikich.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
spok.com,https://www.spok.com/,apac-sales@spok.com ; hr@spok.com ; media@spok.com,apac-sales@spok.com ; hr@spok.com ; media@spok.com,,,,,Jobvite,Jobvite,hirevue,3,valid_mx_email_found,
springhurstanimalhospital.com,https://springhurstanimalhospital.com/,info@springhurstanimalhospital.com,info@springhurstanimalhospital.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
sthopepublicschools.org,https://www.sthopepublicschools.org/,info@sthopepublicschools.org,info@sthopepublicschools.org,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
symetri.co.uk,https://www.symetri.co.uk/,info@symetri.co.uk ; support@symetri.co.uk,info@symetri.co.uk ; support@symetri.co.uk,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
symetri.dk,https://www.symetri.dk/,info@symetri.dk ; support@symetri.dk,info@symetri.dk ; support@symetri.dk,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
symetri.fi,https://www.symetri.fi/,info@symetri.fi,info@symetri.fi,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
symetri.no,https://www.symetri.no/,info@symetri.no ; support@symetri.no,info@symetri.no ; support@symetri.no,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
symetri.us,https://www.symetri.us/,contact-us@symetri.com ; marketing-us@symetri.com,,,contact-us@symetri.com ; marketing-us@symetri.com,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
symetrigroup.com,https://www.symetrigroup.com/,contact@ff.solutions ; info@solidcad.ca ; info@symetri.co.uk ; info@symetri.com ; info@symetri.dk ; info@symetri.fi ; info@symetri.no ; sales@symetri.ie,,,info@symetri.co.uk ; info@symetri.com ; info@symetri.dk ; info@symetri.fi ; info@symetri.no,contact@ff.solutions ; info@solidcad.ca ; sales@symetri.ie,,Jobvite,Jobvite,hirevue,8,valid_mx_email_found,
taycor.com,https://taycor.com/,hr@taycor.com ; info@taycor.com,hr@taycor.com ; info@taycor.com,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
tcstire.com,https://tcstire.com/,sales@tcstire.com ; support@tcstire.com ; tireworks.support@tcstire.com,sales@tcstire.com ; support@tcstire.com ; tireworks.support@tcstire.com,,,,,Jobvite,Jobvite,hirevue,3,valid_mx_email_found,
teleguard.net,https://teleguard.net/,admin@teleguard.net ; info@domain.com,admin@teleguard.net,,info@domain.com,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
theopusgroup.com,https://www.theopusgroup.com/,media.relations@theopusgroup.com,media.relations@theopusgroup.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
tritondigital.com,https://tritondigital.com/,press@tritondigital.com,press@tritondigital.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
valorcollegiate.org,https://valorcollegiate.org/,info@valorcollegiate.org,info@valorcollegiate.org,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
von.ca,https://von.ca/en,media@von.ca,media@von.ca,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
wavecomp.ai,https://wavecomp.ai/,info@wavecomp.com,,,,info@wavecomp.com,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
weguard.biz,https://www.weguard.biz/,info@weguard.biz,info@weguard.biz,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
wirelessvision.com,https://wirelessvision.com/,info@wirelessvision.com,info@wirelessvision.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
