position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,publicwww_email_query_rows
338,1171605,europeanlemansseries.com,no,,,1,hospitality@europeanlemansseries.com,showing_email_candidates,not_flagged,,1
348,1254210,ibuku.com,yes,,,3,press@ibuku.com ; sales@ibuku.com ; work@ibuku.com,showing_email_candidates,not_flagged,,7
349,1268871,searchviu.com,no,,,1,info@searchviu.com,showing_email_candidates,not_flagged,,4
356,1298796,velux.es,no,,,1,servicio.instalacion@velux.com,showing_email_candidates,not_flagged,,1
358,1348138,shipbrokers.jp,no,,,9,brokers@tsltanker.co.jp ; operation@shoun-marine.jp ; projects.jp@ssyglobal.com ; sanwa308@sepia.ocn.ne.jp ; ships@ships21.co.jp ; sunbeam@sunbeamship.co.jp ; takashi.kuramoto@seafortnavi.com ; tsc@teraship.co.jp ; univership@univership.com,showing_email_candidates,not_flagged,,2
360,1375966,arabbank.com.qa,no,,,1,corporate.businesscenter@arabbank.com,showing_email_candidates,not_flagged,,2
361,1385121,monticket.com,yes,,,3,contact-web@pomme-prod.com ; disneyce@pomme-prod.com ; serviceclients@pomme-prod.com,showing_email_candidates,not_flagged,,4
362,1397501,pickupalpha.com,no,,,1,squattincassanova@pickupalpha.com,showing_email_candidates,not_flagged,,6
373,1467835,velux.dk,no,,,2,dagslys@velux.com ; service@velux.dk,showing_email_candidates,not_flagged,,2
383,1516796,soprema.us,no,,,1,salesforce@performanceroofsystems.us,showing_email_candidates,not_flagged,,1
388,1572074,nakashima-motors.com,no,,,1,info@nakashima-motors.com,showing_email_candidates,not_flagged,,2
402,1679515,velux.ie,no,,,1,daylight@velux.co.uk,showing_email_candidates,not_flagged,,1
404,1686857,illinoismun.org,no,,,2,secgen@illinoismun.org ; secretary@illinoismun.org,showing_email_candidates,not_flagged,,2
412,1747204,cupola.com.br,no,,,1,contato@cupola.com.br,showing_email_candidates,not_flagged,,1
432,1876830,medievalfair.org,no,,,1,medievalfair@ou.edu,showing_email_candidates,not_flagged,,2
440,1922878,crema.us,no,,,1,hello@crema.us,showing_email_candidates,not_flagged,,3
441,1939613,commartthailand.com,no,,,1,ctm@arip.co.th,showing_email_candidates,not_flagged,,1
453,1983414,mommybites.com,no,,,3,info@mommybites.com ; jlf238@gmail.com ; laneythe86@gmail.com,showing_email_candidates,not_flagged,,6
456,1991300,jumpingrivers.com,no,,,1,hello@jumpingrivers.com,showing_email_candidates,not_flagged,,1
457,1998750,grandcasinobaden.ch,yes,,,3,grandwinners@grandcasinobaden.ch ; info@grandcasinobaden.ch ; restaurant@grandcasinobaden.ch,showing_email_candidates,not_flagged,,3
469,2046491,amhydro.com,yes,,,7,info@amhydro.com ; jenny@amhydro.com ; joe@amhydro.com ; lydia@amhydro.com ; maya@amhydro.com ; orders@amhydro.com ; rudy@amhydro.com,showing_email_candidates,not_flagged,,1
471,2059612,eyelaser.at,no,,,1,info@eyelaser.at,showing_email_candidates,not_flagged,,7
477,2124972,dealkit.com,no,,,1,careers@dealkit.com,showing_email_candidates,not_flagged,,3
478,2127259,ekincare.com,no,,,4,aravind@ekincare.com ; careers@ekincare.com ; customerexecutive@ekincare.com ; info@ekincare.com,showing_email_candidates,not_flagged,,7
479,2138320,harrisranchbeef.com,no,,,2,a.attia@halalnational.com ; a.attia@sbcglobal.net,showing_email_candidates,not_flagged,,2
490,2214162,pjhayman.com,yes,,,1,jon.mainwaring@pjhayman.com,showing_email_candidates,not_flagged,,1
491,2215341,eastridingleisure.co.uk,no,,,1,leisure@eastriding.gov.uk,showing_email_candidates,not_flagged,,1
496,2232844,flint.nl,no,,,2,evenementen@flint.nl ; kassa@flint.nl,showing_email_candidates,not_flagged,,7
499,2240814,mydentistaz.com,no,,,1,office@mydentistaz.com,showing_email_candidates,not_flagged,,7
504,2313895,comon.pt,no,,,1,geral@comon.pt,showing_email_candidates,not_flagged,,7
506,2333940,agcc.co.uk,yes,,,3,bulletin@agcc.co.uk ; info@agcc.co.uk ; membership@agcc.co.uk,showing_email_candidates,not_flagged,,7
514,2346048,haddadsmarket.com,yes,,,1,questions@haddadsmarket.com,showing_email_candidates,not_flagged,,1
522,2402372,tremor.com,yes,,,1,geoff@tremor.com,showing_email_candidates,not_flagged,,1
523,2410868,centralpc.org,no,,,1,office@centralpc.org,showing_email_candidates,not_flagged,,1
524,2411305,iarmas.cl,no,,,4,asistenciaproveedores@empresasarmas.cl ; clientes@empresasarmas.cl ; jcofre@empresasarmas.cl ; jpenaloza@empresasarmas.cl,showing_email_candidates,not_flagged,,2
525,2412185,unfundedlist.com,yes,,,1,dave@unfundedlist.com,showing_email_candidates,not_flagged,,1
544,2567940,animalfreeresearchuk.org,no,,,1,hello@animalfreeresearchuk.org,showing_email_candidates,not_flagged,,1
548,2604546,urbancropsolutions.com,yes,,,1,sales@urbancropsolutions.com,showing_email_candidates,not_flagged,,7
549,2607908,enzo.pl,no,,,1,kontakt@enzo.pl,showing_email_candidates,not_flagged,,7
551,2614685,furbishco.com,no,,,14,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; aweller@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; hr@furbishco.com ; info@furbishco.com ; jparker@soprema.us ; sdavis@furbishco.com ; twheeler@furbishco.com,showing_email_candidates,not_flagged,,2
552,2631391,ethicalseoconsulting.com,yes,,,2,cmeraz@ethicalseoconsulting.com ; mgreen@jurisdigital.com,showing_email_candidates,not_flagged,,1
557,2653071,smpl.co,no,,,1,help@smpl.co,showing_email_candidates,not_flagged,,3
562,2668008,toscanaslc.com,no,,,2,info@toscanaslc.com ; reservations@toscanaslc.com,showing_email_candidates,not_flagged,,3
563,2676589,muf.se,no,,,32,alva.doyle@moderaterna.se ; arthur.limmergard@moderaterna.se ; arvid.persson@moderaterna.se ; carl.hedenbergh@moderaterna.se ; charlie.hederbergt@moderaterna.se ; charlotte.carlgren@moderaterna.se ; edvin.littorin@moderaterna.se ; elias.akerman@moderaterna.se ; elin.bohlin@moderaterna.se ; elsa.wikner@moderaterna.se ; emma.falkbacken@moderaterna.se ; erik.henriksson@moderaterna.se ; florencia.arocalopez@moderaterna.se ; fredrik.eneroth@moderaterna.se ; hugo.rofors@moderaterna.se ; isac.rubin@moderaterna.se ; izabel.riedl@moderaterna.se ; john.rundkvist@moderaterna.se ; linus.heimdal@moderaterna.se ; lucas.amgren@moderaterna.se ; ludvig.anderstrom.muf@gmail.com ; marcus.rydberg@moderaterna.se ; maria.nordgren@moderaterna.se ; michael.hessen@moderaterna.se ; muf.medlem@moderaterna.se ; n@moderaterna.se ; oliver.wallstedt@moderaterna.se ; oscar.widmark@moderaterna.se ; sam.kharazmi@moderaterna.se ; sara.fladje@moderaterna.se ; simon.timsakarlsson@moderaterna.se ; wilhelm.warnborn@moderaterna.se,showing_email_candidates,not_flagged,,4
565,2687311,modomodoagency.com,no,,,1,hi@modomodoagency.com,showing_email_candidates,not_flagged,,7
569,2714204,fiduciaryfinancialpartners.com,no,,,1,nick@fiduciaryfp.com,showing_email_candidates,not_flagged,,1
578,2776796,everlastingelopements.com,yes,,,1,info@everlastingelopements.com,showing_email_candidates,not_flagged,,6
579,2783612,comegetcustomized.com,yes,,,1,sales@comegetcustomized.com,showing_email_candidates,not_flagged,,1
585,2812175,champagnecastle.co.za,no,,,1,info@champagnecastle.co.za,showing_email_candidates,not_flagged,,1
586,2829155,adelie-assurances.com,no,,,1,contact@adelie-assurances.com,showing_email_candidates,not_flagged,,1
587,2830636,theatre-madeleine.com,yes,,,8,billetterie@theatremadeleine.com ; compta@theatremadeleine.com ; evenements@theatremadeleine.com ; groupes@theatremadeleine.com ; kletellier@theatremadeleine.com ; pbonneau@theatremadeleine.com ; regie@theatremadeleine.com ; serviceclient@theatremadeleine.com,showing_email_candidates,not_flagged,,1
593,2869049,peakup.org,no,,,1,info@peakup.org,showing_email_candidates,not_flagged,,1
604,2929462,danceaustinstudio.com,no,,,1,danceaustinowner@gmail.com,showing_email_candidates,not_flagged,,1
606,2955294,institutodaprostata.com,no,,,1,geral@institutodaprostata.com,showing_email_candidates,not_flagged,,6
611,2971631,fluidmasteruk.com,no,,,2,dpr@fluidmaster.com ; salesuk@fluidmaster.com,showing_email_candidates,not_flagged,,1
614,2983253,cadastre.ch,no,,,31,agi@bd.so.ch ; agi@sh.ch ; agi@sz.ch ; agi@tg.ch ; are.vermessung@bd.zh.ch ; dfe-ucr@ti.ch ; dit@etat.ge.ch ; ds.jd@ur.ch ; geo@bs.ch ; geoinformation@ai.ch ; geoinformation@bl.ch ; gva@bs.ch ; hochbau@gl.ch ; info.agg@zg.ch ; info.agi@be.ch ; info.atg@llv.li ; info.dcg@vd.ch ; info.oerebk@be.ch ; info@alg.gr.ch ; info@budareg.sg.ch ; oereb@ag.ch ; raum.wald@ar.ch ; raumentwicklung@nw.ch ; rawi@lu.ch ; scg.sdt@jura.ch ; sgeo@fr.ch ; sgrf@ne.ch ; sitvs@admin.vs.ch ; vermessung@swisstopo.ch ; vermessungsamt@ag.ch ; volkswirtschaftsamt@ow.ch,showing_email_candidates,not_flagged,,6
618,3006452,ohd.dk,yes,,,1,kontakt@ohd.dk,showing_email_candidates,not_flagged,,4
621,3014917,allenmemorial.org,no,,,1,ambc@allenmemorial.org,showing_email_candidates,not_flagged,,1
641,3084226,symetri.se,no,,,4,info@symetri.se ; martin.burrows@symetri.com ; mats.forssen@symetri.com ; support@symetri.se,showing_email_candidates,not_flagged,,7
647,3101713,pianodebiti.it,no,,,1,info@pianodebiti.it,showing_email_candidates,not_flagged,,5
649,3105229,kidpreneurs.org,yes,,,1,hello@kidpreneurs.org,showing_email_candidates,not_flagged,,3
651,3108897,trasterosplus.es,yes,,,3,juanxxiii@trasterosplus.es ; laslagunas@trasterosplus.es ; sanmillan@trasterosplus.es,showing_email_candidates,not_flagged,,6
668,3229701,teonite.com,yes,,,3,hello@teonite.com ; mike@teonite.com ; robert@teonite.com,showing_email_candidates,not_flagged,,6
669,3243990,route66ventures.com,no,,,9,arif@r66.vc ; ben@r66.vc ; david@r66.vc ; eric@r66.vc ; joe@r66.vc ; mike@r66.vc ; ryan@r66.vc ; stuart@r66.vc ; trent@r66.vc,showing_email_candidates,not_flagged,,1
679,3290142,seminare4you.de,yes,,,1,rkwichmann@web.de,showing_email_candidates,not_flagged,,7
681,3305270,tabanmd.com,yes,,,1,office@tabanmd.com,showing_email_candidates,not_flagged,,7
701,3417055,georgboerner.de,no,,,5,boerner-technik@soprema.de ; boerner@soprema.de ; mboerner@soprema.de ; mschwarz@soprema.de ; tgrau@soprema.de,showing_email_candidates,not_flagged,,4
705,3437762,systronic.com.au,no,,,1,info@systronic.com.au,showing_email_candidates,not_flagged,,1
723,3548526,okautism.org,no,,,3,amber-davis@ouhsc.edu ; michele-deberry@ouhsc.edu ; okautism@ouhsc.edu,showing_email_candidates,not_flagged,,7
730,3622625,floydsuk.com,no,,,1,sales@floydsuk.com,showing_email_candidates,not_flagged,,4
737,3657633,firstavenue.it,no,,,1,support@firstavenue.it,showing_email_candidates,not_flagged,,1
740,3665501,coachingwithroy.com,no,,,1,roy@coachingwithroy.com,showing_email_candidates,not_flagged,,1
749,3716967,aric-ama.co.jp,no,,,1,info@aric-ama.co.jp,showing_email_candidates,not_flagged,,1
750,3727565,rigolcanada.com,no,,,1,onlinesales@electro-meters.com,showing_email_candidates,not_flagged,,2
757,3772477,refugecf.com,no,,,2,brent@refugecf.com ; info@refugecf.com,showing_email_candidates,not_flagged,,7
760,3787752,arabbank.ma,no,,,1,corporate.businesscenter@arabbank.com,showing_email_candidates,not_flagged,,3
761,3789856,mainmetall.de,yes,,,1,marketing@mainmetall.de,showing_email_candidates,not_flagged,,6
764,3820353,umkumbe.co.za,no,,,1,res@umkumbe.co.za,showing_email_candidates,not_flagged,,3
765,3823857,raionpoadresu.ru,yes,,,1,contact@sprweb.ru,showing_email_candidates,not_flagged,,1
771,3876290,bhaviksarkhedi.com,yes,,,1,brand@ohhmybrand.com,showing_email_candidates,not_flagged,,3
784,3961896,thepizzaproject.co.uk,no,,,2,cafe@thepizzaproject.co.uk ; info@thepizzaproject.co.uk,showing_email_candidates,not_flagged,,7
789,3983192,chilefacilitadores.cl,no,,,1,contacto@chilefacilitadores.cl,showing_email_candidates,not_flagged,,1
790,3988071,kokuou.com,no,,,1,shop@kokuou.com,showing_email_candidates,not_flagged,,1
799,4031005,pahrtners.be,yes,,,2,info@pahrtners.be ; recruitment@pahrtners.be,showing_email_candidates,not_flagged,,2
806,4085382,ateamtuition.com,yes,,,1,info@ateamtuition.com,showing_email_candidates,not_flagged,,7
813,4137159,pullnsave.com,yes,,,1,info@pullnsave.com,showing_email_candidates,not_flagged,,7
817,4159089,isomatex.com,no,,,1,info@isomatex.com,showing_email_candidates,not_flagged,,1
821,4164230,visch-vanzeggelaar.nl,no,,,20,aart@visch-vanzeggelaar.nl ; amsterdam@visch-vanzeggelaar.nl ; beheer@visch-vanzeggelaar.nl ; bob@visch-vanzeggelaar.nl ; bussum@visch-vanzeggelaar.nl ; carlijn@visch-vanzeggelaar.nl ; daan@visch-vanzeggelaar.nl ; danielle@visch-vanzeggelaar.nl ; dominique@visch-vanzeggelaar.nl ; dorien@visch-vanzeggelaar.nl ; emma@visch-vanzeggelaar.nl ; jeroen@visch-vanzeggelaar.nl ; juliette@visch-vanzeggelaar.nl ; laren@visch-vanzeggelaar.nl ; lisanne@visch-vanzeggelaar.nl ; lon@visch-vanzeggelaar.nl ; martijn@visch-vanzeggelaar.nl ; olivier@visch-vanzeggelaar.nl ; sjors@visch-vanzeggelaar.nl ; stanley@visch-vanzeggelaar.nl,showing_email_candidates,not_flagged,,2
826,4192016,ardent-group.com,no,,,1,info@ardent-group.com,showing_email_candidates,not_flagged,,7
829,4203892,symetri.fi,no,,,8,info@symetri.fi ; janne.talvitie@symetri.com ; juho.laine@symetri.com ; jyrki.petsalo@symetri.com ; markku.koistinen@symetri.com ; marko.aivio@symetri.com ; support@symetri.fi ; timo.vayrynen@symetri.com,showing_email_candidates,not_flagged,,7
830,4217790,tullystraining.com,yes,,,1,tullystraining@gmail.com,showing_email_candidates,not_flagged,,1
833,4235739,figt.org,no,,,1,support@wildapricot.com,showing_email_candidates,not_flagged,,1
834,4235880,loeft.no,no,,,1,salg@loeft.no,showing_email_candidates,not_flagged,,1
836,4253036,kinit.mx,yes,,,15,aoteromac@kinit.mx ; carlos.abraham@kinit.mx ; cesar@kinit.mx ; colin@kinit.mx ; cristina@kinit.mx ; daniel@kinit.mx ; david@kinit.mx ; devs@kinit.mx ; gerardo@kinit.mx ; isaac@kinit.mx ; jonathan@kinit.mx ; juanjo@kinit.mx ; monica@kinit.mx ; paola@kinit.mx ; sofia@kinit.mx,showing_email_candidates,not_flagged,,1
837,4254763,velux.com.tr,no,,,1,v-tr@velux.com,showing_email_candidates,not_flagged,,1
840,4275432,gettothegym.com,no,,,1,customerservice@gettothegym.com,showing_email_candidates,not_flagged,,5
843,4299302,harleyjohnston.com,no,,,1,harley@harleyjohnston.com,showing_email_candidates,not_flagged,,1
846,4302366,medicaldiscoverynews.com,no,,,1,md.news@utmb.edu,showing_email_candidates,not_flagged,,1
848,4311326,baluvaithinathan.com,no,,,1,iam@baluvaithinathan.com,showing_email_candidates,not_flagged,,2
860,4393878,advisable.gr,yes,,,1,welcome@advisable.gr,showing_email_candidates,not_flagged,,7
861,4394602,fits-tyo.com,no,,,1,henshu@fits-tyo.com,showing_email_candidates,not_flagged,,1
863,4411523,oldbicycleshop.com,no,,,1,info@oldbicycleshop.com,showing_email_candidates,not_flagged,,2
873,4525700,totalsafes.co.uk,no,,,1,info@totalsafes.co.uk,showing_email_candidates,not_flagged,,4
898,4654353,sunborninfinity.gi,no,,,2,spa@infinitysunborn.com ; spa@sunborngibraltar.com,showing_email_candidates,not_flagged,,2
903,4675896,ftuebe.es,yes,,,1,secretaria@ftuebe.es,showing_email_candidates,not_flagged,,1
907,4695061,finestshops.com,no,,,1,sales@finestshops.com,showing_email_candidates,not_flagged,,6
910,4717812,stanchem-inc.com,no,,,4,auchy@stanchem-inc.com ; cnye@stanchem-inc.com ; csullivan@stanchem-inc.com ; info@stanchem-inc.com,showing_email_candidates,not_flagged,,1
936,4844903,matchmysound.com,no,,,1,sfreeman@matchmysound.com,showing_email_candidates,not_flagged,,1
951,4933813,velux.ua,no,,,1,velux.ukraine@velux.com,showing_email_candidates,not_flagged,,1
953,4954109,cccofgod.org,no,,,1,church@cccofgod.org,showing_email_candidates,not_flagged,,1
956,4987230,cstenero.ch,no,,,1,cstenero@baspo.admin.ch,showing_email_candidates,not_flagged,,6
962,5014651,yesandyesyes.com,yes,,,2,help@yxyy.us ; partners@yxyy.us,showing_email_candidates,not_flagged,,1
964,5018163,awsr.be,no,,,9,avr@awsr.be ; comm@awsr.be ; dac@awsr.be ; formation@awsr.be ; info@awsr.be ; info@mobilit.fgov.be ; mobilite.infrastructures@spw.wallonie.be ; rdvpedagogique@awsr.be ; stat@awsr.be,showing_email_candidates,not_flagged,,7
968,5073219,nutislab.com,yes,,,1,information@nutislab.com,showing_email_candidates,not_flagged,,1
969,5075474,idealabsconsulting.com,no,,,2,info@example.com ; info@idealabsconsulting.com,showing_email_candidates,not_flagged,,5
980,5170775,eobc.co.uk,yes,,,1,info@veyevents.co.uk,showing_email_candidates,not_flagged,,7
981,5178356,softtrader.nl,yes,,,1,info@softtrader.nl,showing_email_candidates,not_flagged,,3
986,5205822,hourigan.co,yes,,,1,ben@hourigan.co,showing_email_candidates,not_flagged,,1
994,5242924,lanoirsaddleworld.com.au,no,,,1,info@lanoirsaddleworld.com.au,showing_email_candidates,not_flagged,,1
996,5256627,crossfit536.ie,no,,,1,info@crossfit536.ie,showing_email_candidates,not_flagged,,6
999,5265125,eyelaser.ch,no,,,1,info@eyelaser.ch,showing_email_candidates,not_flagged,,7
1001,5270915,cecpd.org,no,,,4,ccp@necpa.net ; cdafeedback@cdacouncil.org ; cecpd@ou.edu ; pdas@ou.edu,showing_email_candidates,not_flagged,,7
1004,5285227,collinsdental.com,yes,,,1,info@collinsdental.com,showing_email_candidates,not_flagged,,6
1006,5289192,alternativeballistics.com,no,,,1,info@alternativeballistics.com,showing_email_candidates,not_flagged,,5
1008,5324302,zuidema.nl,no,,,1,info@zuidema.nl,showing_email_candidates,not_flagged,,1
1017,5357391,adsystems.es,no,,,1,info@adsystems.es,showing_email_candidates,not_flagged,,3
1019,5360365,sould.se,no,,,13,business@sould.se ; christian@sould.se ; david@sould.se ; elin@sould.se ; elvine@sould.se ; emanuel@sould.se ; filippa@sould.se ; info@sould.se ; jakob@sould.se ; jobs@sould.se ; kajsa@sould.se ; praktik@sould.se ; sara@sould.se,showing_email_candidates,not_flagged,,7
1022,5380112,duxpaint.com,no,,,3,bea@duxpaint.com ; info@835272b8b4.nxcli.io ; info@duxpaint.com,showing_email_candidates,not_flagged,,7
1024,5386867,goldenwestmachine.com,no,,,7,dan@goldenwestmachine.com ; nick@goldenwestmachine.com ; sales@goldenwestmachine.com ; sarah@goldenwestmachine.com ; shane@goldenwestmachine.com ; simone@goldenwestmachine.com ; stephen@goldenwestmachine.com,showing_email_candidates,not_flagged,,1
1028,5400210,m2ngage.com,no,,,1,info@m2ngage2.com,showing_email_candidates,not_flagged,,6
1029,5407143,0120895234.com,no,,,1,ti-co@hkg.odn.ne.jp,showing_email_candidates,not_flagged,,1
1035,5430894,prinsloozeeman.co.za,no,,,1,info@prinsloozeeman.co.za,showing_email_candidates,not_flagged,,2
1037,5432281,capitalindexpartners.com,no,,,1,partners@vantosmarkets.co.uk,showing_email_candidates,not_flagged,,1
1042,5450682,evologi.it,yes,,,2,jobs@evologi.it ; support@evologi.it,showing_email_candidates,not_flagged,,7
1054,5514402,joblink-ama.com,no,,,1,hearteyes19902@gmail.com,showing_email_candidates,not_flagged,,1
