position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes,email_verification,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
332,1125184,chatham.co.uk,no,,,0,0,,,contact_pages,https://www.chatham.co.uk/,ok,200,2,info@chatham.co.uk,,info@chatham.co.uk,showing_email_candidates,not_flagged,,info@chatham.co.uk,,,,,info@chatham.co.uk,,,info@chatham.co.uk=unknown (rate_limited),,,,info@chatham.co.uk,valid=0; invalid=0; risky=0; unknown=1
333,1133341,weiman.com,no,,,0,0,,,contact_pages,https://weiman.com/,ok,200,2,marketing@weiman.com,,marketing@weiman.com,showing_email_candidates,not_flagged,,marketing@weiman.com,,,,,marketing@weiman.com,,,marketing@weiman.com=invalid (mailbox_not_found),,marketing@weiman.com,,,valid=0; invalid=1; risky=0; unknown=0
388,1572074,nakashima-motors.com,no,,,1,2,,,contact_pages,https://nakashima-motors.com/,unavailable,0,0,,info@nakashima-motors.com,info@nakashima-motors.com,showing_email_candidates,not_flagged,,info@nakashima-motors.com,,,,,info@nakashima-motors.com,,ConnectionError,info@nakashima-motors.com=unknown (rate_limited),,,,info@nakashima-motors.com,valid=0; invalid=0; risky=0; unknown=1
424,1844505,cotesol-parquet.com,no,,,0,0,,,contact_pages,https://cotesol-parquet.com/,ok,200,0,contact@cotesol-parquet.com,,contact@cotesol-parquet.com,showing_email_candidates,not_flagged,,contact@cotesol-parquet.com,,,,,contact@cotesol-parquet.com,,,contact@cotesol-parquet.com=invalid (mailbox_not_found),,contact@cotesol-parquet.com,,,valid=0; invalid=1; risky=0; unknown=0
457,1998750,grandcasinobaden.ch,yes,,,3,3,https://admin.typeform.com/to/dwk6gt,https://admin.typeform.com/to/dwk6gt,contact_pages,https://www.grandcasinobaden.ch/,ok,200,1,info@grandcasinobaden.ch ; mg@styleflasher.at ; restaurant@grandcasinobaden.ch,grandwinners@grandcasinobaden.ch ; info@grandcasinobaden.ch ; restaurant@grandcasinobaden.ch,grandwinners@grandcasinobaden.ch ; info@grandcasinobaden.ch ; mg@styleflasher.at ; restaurant@grandcasinobaden.ch,showing_email_candidates,not_flagged,,info@grandcasinobaden.ch,,,,grandwinners@grandcasinobaden.ch ; mg@styleflasher.at ; restaurant@grandcasinobaden.ch,info@grandcasinobaden.ch,,,info@grandcasinobaden.ch=invalid (disposable),,info@grandcasinobaden.ch,,,valid=0; invalid=1; risky=0; unknown=0
478,2127259,ekincare.com,no,,,4,7,,,contact_pages,https://www.ekincare.com:443/,ok,200,2,aravind@ekincare.com ; careers@ekincare.com ; corporatecare@ekincare.com ; customerexecutive@ekincare.com ; info@ekincare.com ; you@company.com ; you@facility.com,aravind@ekincare.com ; careers@ekincare.com ; customerexecutive@ekincare.com ; info@ekincare.com,aravind@ekincare.com ; careers@ekincare.com ; corporatecare@ekincare.com ; customerexecutive@ekincare.com ; info@ekincare.com ; you@company.com ; you@facility.com,showing_email_candidates,not_flagged,,careers@ekincare.com ; info@ekincare.com,,,,aravind@ekincare.com ; corporatecare@ekincare.com ; customerexecutive@ekincare.com ; you@company.com ; you@facility.com,careers@ekincare.com ; info@ekincare.com,,,careers@ekincare.com=invalid (mailbox_not_found) ; info@ekincare.com=valid (valid_mailbox),info@ekincare.com,careers@ekincare.com,,,valid=1; invalid=1; risky=0; unknown=0
526,2413853,lotuslaser.com,no,,,0,0,,,contact_pages,https://www.lotuslaser.com/,ok,200,2,info@lotuslaser.com ; info@www.lotuslaser.com ; support@lotuslaser.com,,info@lotuslaser.com ; info@www.lotuslaser.com ; support@lotuslaser.com,showing_email_candidates,not_flagged,,info@lotuslaser.com ; info@www.lotuslaser.com ; support@lotuslaser.com,,,,,info@lotuslaser.com ; info@www.lotuslaser.com ; support@lotuslaser.com,,,info@lotuslaser.com=valid (valid_mailbox) ; info@www.lotuslaser.com=invalid (no_mx) ; support@lotuslaser.com=valid (valid_mailbox),info@lotuslaser.com ; support@lotuslaser.com,info@www.lotuslaser.com,,,valid=2; invalid=1; risky=0; unknown=0
542,2554136,bytovki-rf.ru,no,,,0,0,,,contact_pages,https://www.bytovki-rf.ru/,ok,200,1,info@bytovki-rf.ru,,info@bytovki-rf.ru,showing_email_candidates,not_flagged,,info@bytovki-rf.ru,,,,,info@bytovki-rf.ru,,,info@bytovki-rf.ru=unknown (rate_limited),,,,info@bytovki-rf.ru,valid=0; invalid=0; risky=0; unknown=1
543,2567110,namgrass.co.uk,no,,,0,0,,,contact_pages,https://www.namgrass.co.uk/,ok,200,2,info@namgrass.co.uk,,info@namgrass.co.uk,showing_email_candidates,not_flagged,,info@namgrass.co.uk,,,,,info@namgrass.co.uk,,,info@namgrass.co.uk=unknown (rate_limited),,,,info@namgrass.co.uk,valid=0; invalid=0; risky=0; unknown=1
548,2604546,urbancropsolutions.com,yes,,,1,7,https://embed.typeform.com/ ; https://form.typeform.com/to/uwi0bDwq,https://embed.typeform.com/ ; https://form.typeform.com/to/uwi0bDwq,contact_pages,https://urbancropsolutions.com/,ok,200,2,sales@urbancropsolutions.com,sales@urbancropsolutions.com,sales@urbancropsolutions.com,showing_email_candidates,not_flagged,,sales@urbancropsolutions.com,,,,,sales@urbancropsolutions.com,,,sales@urbancropsolutions.com=unknown (rate_limited),,,,sales@urbancropsolutions.com,valid=0; invalid=0; risky=0; unknown=1
550,2613528,numerik.ca,yes,,,0,0,https://optik360.typeform.com/to/bH83PlSR ; https://optik360.typeform.com/to/dfdEZfCN ; https://optik360.typeform.com/to/e5cfpiN7 ; https://optik360.typeform.com/to/ylJM9xuH,https://optik360.typeform.com/to/bH83PlSR ; https://optik360.typeform.com/to/dfdEZfCN ; https://optik360.typeform.com/to/e5cfpiN7 ; https://optik360.typeform.com/to/ylJM9xuH,contact_pages,https://numerik.ca/,ok,200,1,dpo-google@google.com ; gestion.document@numerik.ca ; info@numerik.ca,,dpo-google@google.com ; gestion.document@numerik.ca ; info@numerik.ca,showing_email_candidates,not_flagged,,info@numerik.ca,,,,dpo-google@google.com ; gestion.document@numerik.ca,info@numerik.ca,,,info@numerik.ca=unknown (rate_limited),,,,info@numerik.ca,valid=0; invalid=0; risky=0; unknown=1
551,2614685,furbishco.com,no,,,14,2,,,contact_pages,https://www.furbishco.com/,ok,200,2,abenenati@furbishco.com ; acapapas@furbishco.com ; adalit@furbishco.com ; assistance@soprema.fr ; aweller@furbishco.com ; bsale@furbishco.com ; claudia.littmann@furbishco.com ; dcookson@furbishco.com ; ekhoen@furbishco.com ; esidwell@furbishco.com ; fmacdonald@furbishco.com ; gmiddleton@furbishco.com ; lrichardson@furbishco.com ; mdillon@furbishco.com ; scantwell@furbishco.com ; sdavis@furbishco.com ; twheeler@furbishco.com,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; aweller@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; hr@furbishco.com ; info@furbishco.com ; jparker@soprema.us ; sdavis@furbishco.com ; twheeler@furbishco.com,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; adalit@furbishco.com ; assistance@soprema.fr ; aweller@furbishco.com ; bsale@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; dcookson@furbishco.com ; ekhoen@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; fmacdonald@furbishco.com ; gmiddleton@furbishco.com ; hr@furbishco.com ; info@furbishco.com ; jparker@soprema.us ; lrichardson@furbishco.com ; mdillon@furbishco.com ; scantwell@furbishco.com ; sdavis@furbishco.com ; twheeler@furbishco.com,showing_email_candidates,not_flagged,,hr@furbishco.com ; info@furbishco.com,,,,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; adalit@furbishco.com ; assistance@soprema.fr ; aweller@furbishco.com ; bsale@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; dcookson@furbishco.com ; ekhoen@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; fmacdonald@furbishco.com ; gmiddleton@furbishco.com ; jparker@soprema.us ; lrichardson@furbishco.com ; mdillon@furbishco.com ; scantwell@furbishco.com ; sdavis@furbishco.com ; twheeler@furbishco.com,hr@furbishco.com ; info@furbishco.com,,,hr@furbishco.com=valid (valid_mailbox) ; info@furbishco.com=unknown (rate_limited),hr@furbishco.com,,,info@furbishco.com,valid=1; invalid=0; risky=0; unknown=1
552,2631391,ethicalseoconsulting.com,yes,,,2,1,https://embed.typeform.com/ ; https://jurisdigital.typeform.com/to/lSBEHb,https://embed.typeform.com/ ; https://jurisdigital.typeform.com/to/lSBEHb,contact_pages,https://www.ethicalseoconsulting.com/,ok,200,2,cmeraz@ethicalseoconsulting.com ; mgreen@jurisdigital.com ; sales@ethicalseoconsulting.com,cmeraz@ethicalseoconsulting.com ; mgreen@jurisdigital.com,cmeraz@ethicalseoconsulting.com ; mgreen@jurisdigital.com ; sales@ethicalseoconsulting.com,showing_email_candidates,not_flagged,,sales@ethicalseoconsulting.com,,,,cmeraz@ethicalseoconsulting.com ; mgreen@jurisdigital.com,sales@ethicalseoconsulting.com,,,sales@ethicalseoconsulting.com=unknown (rate_limited),,,,sales@ethicalseoconsulting.com,valid=0; invalid=0; risky=0; unknown=1
555,2646614,helloneighbor.io,yes,,,0,0,https://embed.typeform.com/ ; https://form.typeform.com/to/mgfRZXD9,https://embed.typeform.com/ ; https://form.typeform.com/to/mgfRZXD9,contact_pages,https://www.helloneighbor.io/,ok,200,2,info@helloneighbor.io,,info@helloneighbor.io,showing_email_candidates,not_flagged,,info@helloneighbor.io,,,,,info@helloneighbor.io,,,info@helloneighbor.io=unknown (rate_limited),,,,info@helloneighbor.io,valid=0; invalid=0; risky=0; unknown=1
561,2667519,firstport.org.uk,yes,,,0,0,https://09oui559vjs.typeform.com/to/CaBPVilq,https://09oui559vjs.typeform.com/to/CaBPVilq,contact_pages,https://www.firstport.org.uk/,ok,200,2,info@firstport.org.uk,,info@firstport.org.uk,showing_email_candidates,not_flagged,,info@firstport.org.uk,,,,,info@firstport.org.uk,,,info@firstport.org.uk=unknown (rate_limited),,,,info@firstport.org.uk,valid=0; invalid=0; risky=0; unknown=1
562,2668008,toscanaslc.com,no,,,2,3,,,contact_pages,https://toscanaslc.com/,unavailable,0,0,,info@toscanaslc.com ; reservations@toscanaslc.com,info@toscanaslc.com ; reservations@toscanaslc.com,showing_email_candidates,not_flagged,,info@toscanaslc.com ; reservations@toscanaslc.com,,,,,info@toscanaslc.com ; reservations@toscanaslc.com,,SSLError,info@toscanaslc.com=unknown (rate_limited) ; reservations@toscanaslc.com=unknown (rate_limited),,,,info@toscanaslc.com ; reservations@toscanaslc.com,valid=0; invalid=0; risky=0; unknown=2
568,2709191,atelierhosting.com,yes,,,0,0,https://hash5.typeform.com/to/G1ofvI ; https://hash5.typeform.com/to/sLVbY4 ; https://hash5.typeform.com/to/z5j2bp,https://hash5.typeform.com/to/G1ofvI ; https://hash5.typeform.com/to/sLVbY4 ; https://hash5.typeform.com/to/z5j2bp,contact_pages,https://atelierhosting.com/,ok,200,2,sales@atelierhosting.com ; support@atelierhosting.com,,sales@atelierhosting.com ; support@atelierhosting.com,showing_email_candidates,not_flagged,,sales@atelierhosting.com ; support@atelierhosting.com,,,,,sales@atelierhosting.com ; support@atelierhosting.com,,,sales@atelierhosting.com=unknown (rate_limited) ; support@atelierhosting.com=unknown (rate_limited),,,,sales@atelierhosting.com ; support@atelierhosting.com,valid=0; invalid=0; risky=0; unknown=2
576,2747478,mystery-travel.be,yes,,,0,0,https://ilovesurprises.typeform.com/to/F3whlBEp ; https://ilovesurprises.typeform.com/to/IOoMVsFq ; https://ilovesurprises.typeform.com/to/rnBm4f ; https://ilovesurprises.typeform.com/to/s8stxtCF,https://ilovesurprises.typeform.com/to/F3whlBEp ; https://ilovesurprises.typeform.com/to/IOoMVsFq ; https://ilovesurprises.typeform.com/to/rnBm4f ; https://ilovesurprises.typeform.com/to/s8stxtCF,contact_pages,https://www.mystery-travel.be/,ok,200,0,info@mystery-travel.be ; u003einfo@mystery-travel.be,,info@mystery-travel.be ; u003einfo@mystery-travel.be,showing_email_candidates,not_flagged,,info@mystery-travel.be,,,,u003einfo@mystery-travel.be,info@mystery-travel.be,,,info@mystery-travel.be=unknown (rate_limited),,,,info@mystery-travel.be,valid=0; invalid=0; risky=0; unknown=1
578,2776796,everlastingelopements.com,yes,,,1,6,https://everlastingelopements.typeform.com/,https://everlastingelopements.typeform.com/,contact_pages,https://everlastingelopements.com/,ok,200,2,info@everlastingelopements.com,info@everlastingelopements.com,info@everlastingelopements.com,showing_email_candidates,not_flagged,,info@everlastingelopements.com,,,,,info@everlastingelopements.com,,,info@everlastingelopements.com=unknown (rate_limited),,,,info@everlastingelopements.com,valid=0; invalid=0; risky=0; unknown=1
579,2783612,comegetcustomized.com,yes,,,1,1,,,contact_pages,https://comegetcustomized.com/,unavailable,0,0,,sales@comegetcustomized.com,sales@comegetcustomized.com,showing_email_candidates,not_flagged,,sales@comegetcustomized.com,,,,,sales@comegetcustomized.com,,ConnectTimeout,sales@comegetcustomized.com=unknown (rate_limited),,,,sales@comegetcustomized.com,valid=0; invalid=0; risky=0; unknown=1
583,2811144,athinasuites.com,yes,,,0,0,https://athinaluxurysuites.typeform.com/to/K3o0Oh,https://athinaluxurysuites.typeform.com/to/K3o0Oh,contact_pages,https://www.athinasuites.com/,unavailable,200,2,info@athinasuites.com,,info@athinasuites.com,showing_email_candidates,not_flagged,,info@athinasuites.com,,,,,info@athinasuites.com,,,info@athinasuites.com=unknown (rate_limited),,,,info@athinasuites.com,valid=0; invalid=0; risky=0; unknown=1
585,2812175,champagnecastle.co.za,no,,,1,1,,,contact_pages,https://champagnecastle.co.za/,ok,200,1,info@champagnecastle.co.za ; info@champagnecastlehotel.co.za,info@champagnecastle.co.za,info@champagnecastle.co.za ; info@champagnecastlehotel.co.za,showing_email_candidates,not_flagged,,info@champagnecastle.co.za,,,,info@champagnecastlehotel.co.za,info@champagnecastle.co.za,,,info@champagnecastle.co.za=unknown (rate_limited),,,,info@champagnecastle.co.za,valid=0; invalid=0; risky=0; unknown=1
588,2844768,tashmans.com,yes,,,0,0,,,contact_pages,https://www.tashmans.com/,ok,200,2,info@tashmans.com,,info@tashmans.com,showing_email_candidates,not_flagged,,info@tashmans.com,,,,,info@tashmans.com,,,info@tashmans.com=unknown (rate_limited),,,,info@tashmans.com,valid=0; invalid=0; risky=0; unknown=1
589,2846458,vamosfalarsobreoluto.com.br,yes,,,0,0,https://vfsol.typeform.com/to/NGb0Bo,https://vfsol.typeform.com/to/NGb0Bo,contact_pages,https://vamosfalarsobreoluto.com.br/,ok,200,2,info@vamosfalarsobreoluto.com.br,,info@vamosfalarsobreoluto.com.br,showing_email_candidates,not_flagged,,info@vamosfalarsobreoluto.com.br,,,,,info@vamosfalarsobreoluto.com.br,,,info@vamosfalarsobreoluto.com.br=unknown (rate_limited),,,,info@vamosfalarsobreoluto.com.br,valid=0; invalid=0; risky=0; unknown=1
593,2869049,peakup.org,no,,,1,1,,,contact_pages,https://peakup.org/,ok,403,0,,info@peakup.org,info@peakup.org,showing_email_candidates,not_flagged,,info@peakup.org,,,,,info@peakup.org,,http_error,info@peakup.org=unknown (rate_limited),,,,info@peakup.org,valid=0; invalid=0; risky=0; unknown=1
610,2970365,moringaconnect.com,yes,,,0,0,https://info013420.typeform.com/to/VVyEVqMNtrue-moringa-powder,https://info013420.typeform.com/to/VVyEVqMNtrue-moringa-powder,contact_pages,https://moringaconnect.com/,ok,200,1,info@moringaconnect.com ; pr@moringaconnect.com ; stockist@moringaconnect.com ; wholesale@moringaconnect.com,,info@moringaconnect.com ; pr@moringaconnect.com ; stockist@moringaconnect.com ; wholesale@moringaconnect.com,showing_email_candidates,not_flagged,,info@moringaconnect.com,,,,pr@moringaconnect.com ; stockist@moringaconnect.com ; wholesale@moringaconnect.com,info@moringaconnect.com,,,info@moringaconnect.com=unknown (rate_limited),,,,info@moringaconnect.com,valid=0; invalid=0; risky=0; unknown=1
622,3015388,fruitatwork.eu,no,,,0,0,https://images.typeform.com/,https://images.typeform.com/,contact_pages,https://www.fruitatwork.eu/,ok,200,1,info@fruitatwork.eu,,info@fruitatwork.eu,showing_email_candidates,not_flagged,,info@fruitatwork.eu,,,,,info@fruitatwork.eu,,,info@fruitatwork.eu=unknown (rate_limited),,,,info@fruitatwork.eu,valid=0; invalid=0; risky=0; unknown=1
636,3066112,organisologie.com,yes,,,0,0,https://form.typeform.com/to/WitabIDq,https://form.typeform.com/to/WitabIDq,contact_pages,https://organisologie.com/,ok,200,1,contact@organisologie.com,,contact@organisologie.com,showing_email_candidates,not_flagged,,contact@organisologie.com,,,,,contact@organisologie.com,,,contact@organisologie.com=invalid (disposable),,contact@organisologie.com,,,valid=0; invalid=1; risky=0; unknown=0
641,3084226,symetri.se,no,,,4,7,,,contact_pages,https://www.symetri.se/,ok,200,2,andreas.nasman@symetri.com ; info@symetri.se ; martin.burrows@symetri.com ; support@symetri.se,info@symetri.se ; martin.burrows@symetri.com ; mats.forssen@symetri.com ; support@symetri.se,andreas.nasman@symetri.com ; info@symetri.se ; martin.burrows@symetri.com ; mats.forssen@symetri.com ; support@symetri.se,showing_email_candidates,not_flagged,,info@symetri.se ; support@symetri.se,,,,andreas.nasman@symetri.com ; martin.burrows@symetri.com ; mats.forssen@symetri.com,info@symetri.se ; support@symetri.se,,,info@symetri.se=unknown (rate_limited) ; support@symetri.se=unknown (rate_limited),,,,info@symetri.se ; support@symetri.se,valid=0; invalid=0; risky=0; unknown=2
643,3090657,soprema.ch,no,,,0,0,,,contact_pages,https://www.soprema.ch/de/,ok,200,2,info@soprema.ch,,info@soprema.ch,showing_email_candidates,not_flagged,,info@soprema.ch,,,,,info@soprema.ch,,,info@soprema.ch=unknown (rate_limited),,,,info@soprema.ch,valid=0; invalid=0; risky=0; unknown=1
644,3091299,hennamorena.com,yes,,,0,0,https://lmlvh0v8shr.typeform.com/to/krIAt63A,https://lmlvh0v8shr.typeform.com/to/krIAt63A,contact_pages,https://www.hennamorena.com/es/,ok,200,0,comercial@hennamorena.com ; info@hennamorena.com,,comercial@hennamorena.com ; info@hennamorena.com,showing_email_candidates,not_flagged,,info@hennamorena.com,,,,comercial@hennamorena.com,info@hennamorena.com,,,info@hennamorena.com=unknown (rate_limited),,,,info@hennamorena.com,valid=0; invalid=0; risky=0; unknown=1
647,3101713,pianodebiti.it,no,,,1,5,,,contact_pages,https://pianodebiti.it/,ok,403,0,,info@pianodebiti.it,info@pianodebiti.it,showing_email_candidates,not_flagged,,info@pianodebiti.it,,,,,info@pianodebiti.it,,http_error,info@pianodebiti.it=unknown (rate_limited),,,,info@pianodebiti.it,valid=0; invalid=0; risky=0; unknown=1
653,3118327,jfcsatl.org,no,,,0,0,,,contact_pages,https://jfcsatl.org/,unavailable,200,2,info@jfcsatl.org ; info@jonathanmelville.com,,info@jfcsatl.org ; info@jonathanmelville.com,showing_email_candidates,not_flagged,,info@jfcsatl.org,,,,info@jonathanmelville.com,info@jfcsatl.org,,,info@jfcsatl.org=unknown (rate_limited),,,,info@jfcsatl.org,valid=0; invalid=0; risky=0; unknown=1
