position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,verification_eligible_emails,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
42,101711,eurohandball.com,yes,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://homeofhandball.typeform.com/to/W03Pw3cr,https://homeofhandball.typeform.com/to/W03Pw3cr,2,handball@ehfmarketing.com ; office@eurohandball.com,showing_email_candidates,not_flagged,office@eurohandball.com,office@eurohandball.com,,,,valid=1; invalid=0; risky=0; unknown=0
43,106748,petbarn.com.au,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
44,108283,animeuknews.net,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
45,108989,yakuendai-jinclinic.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
46,109978,cybex-online.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
47,116144,virginmobile.cl,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
48,118768,ometria.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
49,123690,libertylondon.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
50,123815,formdesk.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
51,124714,hokify.at,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
52,133087,cmp.jobs,yes,https://embed.typeform.com/ ; https://form.typeform.com/to/zAebSW63,https://form.typeform.com/to/zAebSW63,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
53,135296,nuits-sonores.com,yes,https://arty-farty.typeform.com/to/aH15fUoB,https://arty-farty.typeform.com/to/aH15fUoB,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
54,140029,accessfloorpolygroup.com,yes,https://form.typeform.com/to/qY8myemK,https://form.typeform.com/to/qY8myemK,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
55,145596,energage.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
56,147194,qzzr.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
57,147749,cestarcollege.com,yes,https://ug7ov3hlhyf.typeform.com/to/I8DCH6rO,https://ug7ov3hlhyf.typeform.com/to/I8DCH6rO,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
58,149297,agua.org.mx,yes,https://tipousuarios.typeform.com/to/e7yDkL,https://tipousuarios.typeform.com/to/e7yDkL,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
59,150970,h2impression.fr,no,https://car-expresso.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://h2impression.typeform.com/ ; https://public-assets.typeform.com/,,2,info@h2impression.fr ; web@h2impression.fr,showing_email_candidates,not_flagged,info@h2impression.fr ; web@h2impression.fr,,info@h2impression.fr ; web@h2impression.fr,,,valid=0; invalid=2; risky=0; unknown=0
60,151789,mercedesamgf1.com,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
61,152985,crisistextline.org,no,https://gl7zkfwwo5r.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
62,157221,produzionidalbasso.com,yes,https://form.typeform.com/to/bTOLpP7j,https://form.typeform.com/to/bTOLpP7j,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
63,157904,autofact.cl,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
64,159004,capfirm.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
65,159867,storybrand.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
66,160459,wwf.se,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
67,161879,hautsdefrance.fr,no,https://api.typeform.com/ ; https://embed.typeform.com/,,19,age-infos@hautsdefrance.fr ; antenne-abbeville@hautsdefrance.fr ; antenne-amiens@hautsdefrance.fr ; antenne-arras@hautsdefrance.fr ; antenne-cambrai@hautsdefrance.fr ; antenne-chateau-thierry@hautsdefrance.fr ; antenne-clermont@hautsdefrance.fr ; antenne-fourmies@hautsdefrance.fr ; antenne-grandvilliers@hautsdefrance.fr ; antenne-hazebrouck@hautsdefrance.fr ; antenne-marck-en-calaisis@hautsdefrance.fr ; antenne-montdidier@hautsdefrance.fr ; antenne-montreuil-sur-mer@hautsdefrance.fr ; antenne-saint-pol-sur-ternoise@hautsdefrance.fr ; antenne-saintquentin@hautsdefrance.fr ; antenne-sallaumines@hautsdefrance.fr ; antenne-soissons@hautsdefrance.fr ; antenne-wallers@hautsdefrance.fr ; atp-infos@hautsdefrance.fr,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
68,174605,jumpermedia.co,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
69,180345,comfama.com,no,https://www.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
70,186532,niice.co,yes,https://niice.typeform.com/to/kBKj4f90,https://niice.typeform.com/to/kBKj4f90,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
71,194194,maformation.fr,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
72,194913,iicrc.org,yes,https://iicrcmarketing.typeform.com/to/GAJkVEtv ; https://iicrcmarketing.typeform.com/to/pWNmFZSO,https://iicrcmarketing.typeform.com/to/GAJkVEtv ; https://iicrcmarketing.typeform.com/to/pWNmFZSO,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
73,197630,soprema.fr,no,,,1,formation@soprema.fr,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
74,199080,webpositer.com,yes,https://webpositer.pro.typeform.com/ ; https://webpositer.typeform.com/to/WDPau7zx ; https://www.typeform.com/,https://webpositer.typeform.com/to/WDPau7zx,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
75,205559,saleshandy.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
76,205697,myalbum.com,yes,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
77,206441,espresso.co.uk,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
78,210662,repsol.es,no,,,3,protecciondedatos@repsol.com ; protecciondedatos@repsolluzygas.com ; rgpd.crc@repsol.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
79,214948,fan-force.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
80,216381,rmwilliams.com.au,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
81,224916,icom.museum,no,https://museodata.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
82,224930,chilipiper.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
83,226640,oliviaburton.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
84,228450,velux.com,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,2,christian.hansen@velux.com ; stine.paulsen@velux.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
85,230122,stripo.email,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
86,230230,gdandtbasics.com,yes,https://gdandtbasics.typeform.com/ ; https://gdandtbasics.typeform.com/to/N1rraQ5O,https://gdandtbasics.typeform.com/to/N1rraQ5O,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
87,232919,csswizardry.com,no,https://www.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
88,233578,kartinfo.me,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
89,234369,apiumhub.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
90,234422,studioplace.it,yes,https://form.typeform.com/to/VhHaZyod ; https://studioplace.typeform.com/to/VhHaZyod,https://form.typeform.com/to/VhHaZyod ; https://studioplace.typeform.com/to/VhHaZyod,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
91,237132,pordata.pt,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
92,244460,listerhill.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
93,245617,comingsoon-tech.com,yes,https://agency20.typeform.com/to/xRbUJN ; https://embed.typeform.com/,https://agency20.typeform.com/to/xRbUJN,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
94,246135,nslcleaders.org,no,,,2,info@nslcleaders.org ; summerscholarships@nslcleaders.org,showing_email_candidates,not_flagged,info@nslcleaders.org,info@nslcleaders.org,,,,valid=1; invalid=0; risky=0; unknown=0
95,252555,roberts.edu,no,https://embed.typeform.com/,,1,admissions@roberts.edu,showing_email_candidates,not_flagged,admissions@roberts.edu,admissions@roberts.edu,,,,valid=1; invalid=0; risky=0; unknown=0
96,254255,redlights.es,yes,https://shopredlights.typeform.com/to/Uvr8RF,https://shopredlights.typeform.com/to/Uvr8RF,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
97,254275,cortinas.es,yes,https://form.typeform.com/to/l7uxIaWf,https://form.typeform.com/to/l7uxIaWf,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
98,254846,tropicalmba.com,yes,https://14sd8k3d6c1.typeform.com/to/aX9YfmGH,https://14sd8k3d6c1.typeform.com/to/aX9YfmGH,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
99,256676,zeitzuleben.de,no,https://zeitzuleben.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
100,259301,dataart.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
101,259320,disruptiveadvertising.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
102,264299,precedent.com,yes,https://form.typeform.com/to/CwiClqnC,https://form.typeform.com/to/CwiClqnC,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
103,264928,junglejims.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
104,272513,1stcb.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
105,273537,fastportpassport.com,yes,https://embed.typeform.com/ ; https://govworks.typeform.com/to/rXhyuu,https://govworks.typeform.com/to/rXhyuu,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
106,277506,madlibs.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
107,278714,connectamericas.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
108,279905,argeweb.nl,yes,https://argeweb.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://form.typeform.com/to/Un2WWG2I,https://form.typeform.com/to/Un2WWG2I,1,support@argeweb.nl,showing_email_candidates,not_flagged,support@argeweb.nl,support@argeweb.nl,,,,valid=1; invalid=0; risky=0; unknown=0
109,282097,randomhousebooks.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
110,282332,sncft.com.tn,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
111,283077,alphagamma.eu,yes,https://alphagamma.typeform.com/to/uHJEoU,https://alphagamma.typeform.com/to/uHJEoU,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
112,284221,vaccination-info.be,no,https://embed.typeform.com/,,2,notif-hyg@vivalis.brussels ; surveillance.sante@aviq.be,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
113,285138,japan-experience.com,no,https://embed.typeform.com/,,1,contact@japan-experience.com,showing_email_candidates,not_flagged,contact@japan-experience.com,contact@japan-experience.com,,,,valid=1; invalid=0; risky=0; unknown=0
114,286573,solidatech.fr,yes,https://6mu9y4q3kd6.typeform.com/to/f6HuMR6g,https://6mu9y4q3kd6.typeform.com/to/f6HuMR6g,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
115,287427,deux.io,yes,https://deuxio.typeform.com/to/MMUCIr,https://deuxio.typeform.com/to/MMUCIr,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
116,293517,dodenhof.de,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
117,295753,engageinteractive.co.uk,yes,https://embed.typeform.com/ ; https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,1,hello@engageinteractive.co.uk,showing_email_candidates,not_flagged,hello@engageinteractive.co.uk,hello@engageinteractive.co.uk,,,,valid=1; invalid=0; risky=0; unknown=0
118,295983,kualo.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
119,299758,christophjanz.blogspot.com,yes,http://www.typeform.com/ ; https://embed.typeform.com/ ; https://pointninecap.typeform.com/to/gZKJUl ; https://pointninecap.typeform.com/to/lQTISn ; https://pointninecap.typeform.com/to/lxG7os ; https://pointninecap.typeform.com/to/NvAdFu ; https://pointninecap.typeform.com/to/RgRN1R ; https://www.typeform.com/ ; https://xxx.typeform.com/,https://pointninecap.typeform.com/to/gZKJUl ; https://pointninecap.typeform.com/to/lQTISn ; https://pointninecap.typeform.com/to/lxG7os ; https://pointninecap.typeform.com/to/NvAdFu ; https://pointninecap.typeform.com/to/RgRN1R,1,christoph@pointninecap.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
120,301243,seoquantum.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
121,303091,zoechurch.org,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
122,304526,clusit.it,no,https://ojsn03a6n6h.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
123,305065,velux.it,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
124,307123,growthhackingfrance.com,no,,,1,bienvenue@isoluce.net,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
125,307128,velux.fr,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
126,308619,mydeposits.co.uk,yes,https://form.typeform.com/to/axGSAdou,https://form.typeform.com/to/axGSAdou,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
127,308922,spid.center,no,https://embed.typeform.com/,,3,doronkin@spid.center ; melnikova@spid.center ; vorobieva@spid.center,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
128,311710,sjcc.edu,yes,https://sjcitycollege.typeform.com/to/iSUBlLKY,https://sjcitycollege.typeform.com/to/iSUBlLKY,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
129,313010,dinopoloclub.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
130,315480,wanatop.com,no,https://embed.typeform.com/ ; https://form.typeform.com/,,1,negocio@wanatop.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
131,321659,eoimalaga.com,yes,https://msms58gzatu.typeform.com/to/WgnIyXVj,https://msms58gzatu.typeform.com/to/WgnIyXVj,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
132,322475,ecomm.design,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
133,323385,brightknowledge.org,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
134,326877,pulsarplatform.com,no,https://embed.typeform.com/,,1,info@pulsarplatform.com,showing_email_candidates,not_flagged,info@pulsarplatform.com,info@pulsarplatform.com,,,,valid=1; invalid=0; risky=0; unknown=0
135,327905,rolcc.net,yes,https://rolcc.typeform.com/to/ACLrJKEY ; https://rolcc.typeform.com/to/GXhYXTOY ; https://rolcc.typeform.com/to/uYELI5iA,https://rolcc.typeform.com/to/ACLrJKEY ; https://rolcc.typeform.com/to/GXhYXTOY ; https://rolcc.typeform.com/to/uYELI5iA,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
136,330835,enalyzer.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
