position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,publicwww_email_query_rows,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,valid_emails,verification_summary
224,586774,unicef.org.au,no,,,4,abennett@unicef.org.au ; aquigley@unicef.org.au ; philanthropy@unicef.org.au ; support@unicef.org.au,showing_email_candidates,not_flagged,,2,support@unicef.org.au,,,,abennett@unicef.org.au ; aquigley@unicef.org.au ; philanthropy@unicef.org.au,support@unicef.org.au,,support@unicef.org.au,valid=1; invalid=0; risky=0; unknown=0
322,1035781,justbit.it,no,,,1,info@justbit.it,showing_email_candidates,not_flagged,,6,info@justbit.it,,,,,info@justbit.it,,info@justbit.it,valid=1; invalid=0; risky=0; unknown=0
348,1254210,ibuku.com,yes,,,3,press@ibuku.com ; sales@ibuku.com ; work@ibuku.com,showing_email_candidates,not_flagged,,7,press@ibuku.com ; sales@ibuku.com,,,,work@ibuku.com,press@ibuku.com ; sales@ibuku.com,,press@ibuku.com ; sales@ibuku.com,valid=2; invalid=0; risky=0; unknown=0
349,1268871,searchviu.com,no,,,1,info@searchviu.com,showing_email_candidates,not_flagged,,4,info@searchviu.com,,,,,info@searchviu.com,,info@searchviu.com,valid=1; invalid=0; risky=0; unknown=0
373,1467835,velux.dk,no,,,2,dagslys@velux.com ; service@velux.dk,showing_email_candidates,not_flagged,,2,service@velux.dk,,,,dagslys@velux.com,service@velux.dk,,service@velux.dk,valid=1; invalid=0; risky=0; unknown=0
388,1572074,nakashima-motors.com,no,,,1,info@nakashima-motors.com,showing_email_candidates,not_flagged,,2,info@nakashima-motors.com,,,,,info@nakashima-motors.com,,info@nakashima-motors.com,valid=1; invalid=0; risky=0; unknown=0
440,1922878,crema.us,no,,,1,hello@crema.us,showing_email_candidates,not_flagged,,3,hello@crema.us,,,,,hello@crema.us,,hello@crema.us,valid=1; invalid=0; risky=0; unknown=0
453,1983414,mommybites.com,no,,,3,info@mommybites.com ; jlf238@gmail.com ; laneythe86@gmail.com,showing_email_candidates,not_flagged,,6,info@mommybites.com,,,,jlf238@gmail.com ; laneythe86@gmail.com,info@mommybites.com,,info@mommybites.com,valid=1; invalid=0; risky=0; unknown=0
456,1991300,jumpingrivers.com,no,,,1,hello@jumpingrivers.com,showing_email_candidates,not_flagged,,1,hello@jumpingrivers.com,,,,,hello@jumpingrivers.com,,hello@jumpingrivers.com,valid=1; invalid=0; risky=0; unknown=0
469,2046491,amhydro.com,yes,,,7,info@amhydro.com ; jenny@amhydro.com ; joe@amhydro.com ; lydia@amhydro.com ; maya@amhydro.com ; orders@amhydro.com ; rudy@amhydro.com,showing_email_candidates,not_flagged,,1,info@amhydro.com,,,,jenny@amhydro.com ; joe@amhydro.com ; lydia@amhydro.com ; maya@amhydro.com ; orders@amhydro.com ; rudy@amhydro.com,info@amhydro.com,,info@amhydro.com,valid=1; invalid=0; risky=0; unknown=0
471,2059612,eyelaser.at,no,,,1,info@eyelaser.at,showing_email_candidates,not_flagged,,7,info@eyelaser.at,,,,,info@eyelaser.at,,info@eyelaser.at,valid=1; invalid=0; risky=0; unknown=0
477,2124972,dealkit.com,no,,,1,careers@dealkit.com,showing_email_candidates,not_flagged,,3,careers@dealkit.com,,,,,careers@dealkit.com,,careers@dealkit.com,valid=1; invalid=0; risky=0; unknown=0
478,2127259,ekincare.com,no,,,4,aravind@ekincare.com ; careers@ekincare.com ; customerexecutive@ekincare.com ; info@ekincare.com,showing_email_candidates,not_flagged,,7,careers@ekincare.com ; info@ekincare.com,,,,aravind@ekincare.com ; customerexecutive@ekincare.com,careers@ekincare.com ; info@ekincare.com,,info@ekincare.com,valid=1; invalid=1; risky=0; unknown=0
499,2240814,mydentistaz.com,no,,,1,office@mydentistaz.com,showing_email_candidates,not_flagged,,7,office@mydentistaz.com,,,,,office@mydentistaz.com,,office@mydentistaz.com,valid=1; invalid=0; risky=0; unknown=0
506,2333940,agcc.co.uk,yes,,,3,bulletin@agcc.co.uk ; info@agcc.co.uk ; membership@agcc.co.uk,showing_email_candidates,not_flagged,,7,info@agcc.co.uk,,,,bulletin@agcc.co.uk ; membership@agcc.co.uk,info@agcc.co.uk,,info@agcc.co.uk,valid=1; invalid=0; risky=0; unknown=0
523,2410868,centralpc.org,no,,,1,office@centralpc.org,showing_email_candidates,not_flagged,,1,office@centralpc.org,,,,,office@centralpc.org,,office@centralpc.org,valid=1; invalid=0; risky=0; unknown=0
544,2567940,animalfreeresearchuk.org,no,,,1,hello@animalfreeresearchuk.org,showing_email_candidates,not_flagged,,1,hello@animalfreeresearchuk.org,,,,,hello@animalfreeresearchuk.org,,hello@animalfreeresearchuk.org,valid=1; invalid=0; risky=0; unknown=0
548,2604546,urbancropsolutions.com,yes,,,1,sales@urbancropsolutions.com,showing_email_candidates,not_flagged,,7,sales@urbancropsolutions.com,,,,,sales@urbancropsolutions.com,,sales@urbancropsolutions.com,valid=1; invalid=0; risky=0; unknown=0
551,2614685,furbishco.com,no,,,14,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; aweller@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; hr@furbishco.com ; info@furbishco.com ; jparker@soprema.us ; sdavis@furbishco.com ; twheeler@furbishco.com,showing_email_candidates,not_flagged,,2,hr@furbishco.com ; info@furbishco.com,,,,abenenati@furbishco.com ; acapapas@furbishco.com ; accounting@furbish.com ; aweller@furbishco.com ; celittmann@furbishco.com ; claudia.littmann@furbishco.com ; ekohen@furbishco.com ; esidwell@furbishco.com ; estimating@furbishco.com ; jparker@soprema.us ; sdavis@furbishco.com ; twheeler@furbishco.com,hr@furbishco.com ; info@furbishco.com,,hr@furbishco.com ; info@furbishco.com,valid=2; invalid=0; risky=0; unknown=0
557,2653071,smpl.co,no,,,1,help@smpl.co,showing_email_candidates,not_flagged,,3,help@smpl.co,,,,,help@smpl.co,,help@smpl.co,valid=1; invalid=0; risky=0; unknown=0
578,2776796,everlastingelopements.com,yes,,,1,info@everlastingelopements.com,showing_email_candidates,not_flagged,,6,info@everlastingelopements.com,,,,,info@everlastingelopements.com,,info@everlastingelopements.com,valid=1; invalid=0; risky=0; unknown=0
579,2783612,comegetcustomized.com,yes,,,1,sales@comegetcustomized.com,showing_email_candidates,not_flagged,,1,sales@comegetcustomized.com,,,,,sales@comegetcustomized.com,,sales@comegetcustomized.com,valid=1; invalid=0; risky=0; unknown=0
585,2812175,champagnecastle.co.za,no,,,1,info@champagnecastle.co.za,showing_email_candidates,not_flagged,,1,info@champagnecastle.co.za,,,,,info@champagnecastle.co.za,,info@champagnecastle.co.za,valid=1; invalid=0; risky=0; unknown=0
586,2829155,adelie-assurances.com,no,,,1,contact@adelie-assurances.com,showing_email_candidates,not_flagged,,1,contact@adelie-assurances.com,,,,,contact@adelie-assurances.com,,contact@adelie-assurances.com,valid=1; invalid=0; risky=0; unknown=0
593,2869049,peakup.org,no,,,1,info@peakup.org,showing_email_candidates,not_flagged,,1,info@peakup.org,,,,,info@peakup.org,,info@peakup.org,valid=1; invalid=0; risky=0; unknown=0
641,3084226,symetri.se,no,,,4,info@symetri.se ; martin.burrows@symetri.com ; mats.forssen@symetri.com ; support@symetri.se,showing_email_candidates,not_flagged,,7,info@symetri.se ; support@symetri.se,,,,martin.burrows@symetri.com ; mats.forssen@symetri.com,info@symetri.se ; support@symetri.se,,info@symetri.se ; support@symetri.se,valid=2; invalid=0; risky=0; unknown=0
647,3101713,pianodebiti.it,no,,,1,info@pianodebiti.it,showing_email_candidates,not_flagged,,5,info@pianodebiti.it,,,,,info@pianodebiti.it,,info@pianodebiti.it,valid=1; invalid=0; risky=0; unknown=0
649,3105229,kidpreneurs.org,yes,,,1,hello@kidpreneurs.org,showing_email_candidates,not_flagged,,3,hello@kidpreneurs.org,,,,,hello@kidpreneurs.org,,hello@kidpreneurs.org,valid=1; invalid=0; risky=0; unknown=0
681,3305270,tabanmd.com,yes,,,1,office@tabanmd.com,showing_email_candidates,not_flagged,,7,office@tabanmd.com,,,,,office@tabanmd.com,,office@tabanmd.com,valid=1; invalid=0; risky=0; unknown=0
705,3437762,systronic.com.au,no,,,1,info@systronic.com.au,showing_email_candidates,not_flagged,,1,info@systronic.com.au,,,,,info@systronic.com.au,,info@systronic.com.au,valid=1; invalid=0; risky=0; unknown=0
730,3622625,floydsuk.com,no,,,1,sales@floydsuk.com,showing_email_candidates,not_flagged,,4,sales@floydsuk.com,,,,,sales@floydsuk.com,,sales@floydsuk.com,valid=1; invalid=0; risky=0; unknown=0
737,3657633,firstavenue.it,no,,,1,support@firstavenue.it,showing_email_candidates,not_flagged,,1,support@firstavenue.it,,,,,support@firstavenue.it,,support@firstavenue.it,valid=1; invalid=0; risky=0; unknown=0
749,3716967,aric-ama.co.jp,no,,,1,info@aric-ama.co.jp,showing_email_candidates,not_flagged,,1,info@aric-ama.co.jp,,,,,info@aric-ama.co.jp,,info@aric-ama.co.jp,valid=1; invalid=0; risky=0; unknown=0
757,3772477,refugecf.com,no,,,2,brent@refugecf.com ; info@refugecf.com,showing_email_candidates,not_flagged,,7,info@refugecf.com,,,,brent@refugecf.com,info@refugecf.com,,info@refugecf.com,valid=1; invalid=0; risky=0; unknown=0
761,3789856,mainmetall.de,yes,,,1,marketing@mainmetall.de,showing_email_candidates,not_flagged,,6,marketing@mainmetall.de,,,,,marketing@mainmetall.de,,marketing@mainmetall.de,valid=1; invalid=0; risky=0; unknown=0
784,3961896,thepizzaproject.co.uk,no,,,2,cafe@thepizzaproject.co.uk ; info@thepizzaproject.co.uk,showing_email_candidates,not_flagged,,7,info@thepizzaproject.co.uk,,,,cafe@thepizzaproject.co.uk,info@thepizzaproject.co.uk,,info@thepizzaproject.co.uk,valid=1; invalid=0; risky=0; unknown=0
799,4031005,pahrtners.be,yes,,,2,info@pahrtners.be ; recruitment@pahrtners.be,showing_email_candidates,not_flagged,,2,info@pahrtners.be ; recruitment@pahrtners.be,,,,,info@pahrtners.be ; recruitment@pahrtners.be,,info@pahrtners.be ; recruitment@pahrtners.be,valid=2; invalid=0; risky=0; unknown=0
806,4085382,ateamtuition.com,yes,,,1,info@ateamtuition.com,showing_email_candidates,not_flagged,,7,info@ateamtuition.com,,,,,info@ateamtuition.com,,info@ateamtuition.com,valid=1; invalid=0; risky=0; unknown=0
813,4137159,pullnsave.com,yes,,,1,info@pullnsave.com,showing_email_candidates,not_flagged,,7,info@pullnsave.com,,,,,info@pullnsave.com,,info@pullnsave.com,valid=1; invalid=0; risky=0; unknown=0
817,4159089,isomatex.com,no,,,1,info@isomatex.com,showing_email_candidates,not_flagged,,1,info@isomatex.com,,,,,info@isomatex.com,,info@isomatex.com,valid=1; invalid=0; risky=0; unknown=0
826,4192016,ardent-group.com,no,,,1,info@ardent-group.com,showing_email_candidates,not_flagged,,7,info@ardent-group.com,,,,,info@ardent-group.com,,info@ardent-group.com,valid=1; invalid=0; risky=0; unknown=0
829,4203892,symetri.fi,no,,,8,info@symetri.fi ; janne.talvitie@symetri.com ; juho.laine@symetri.com ; jyrki.petsalo@symetri.com ; markku.koistinen@symetri.com ; marko.aivio@symetri.com ; support@symetri.fi ; timo.vayrynen@symetri.com,showing_email_candidates,not_flagged,,7,info@symetri.fi ; support@symetri.fi,,,,janne.talvitie@symetri.com ; juho.laine@symetri.com ; jyrki.petsalo@symetri.com ; markku.koistinen@symetri.com ; marko.aivio@symetri.com ; timo.vayrynen@symetri.com,info@symetri.fi ; support@symetri.fi,,info@symetri.fi ; support@symetri.fi,valid=2; invalid=0; risky=0; unknown=0
840,4275432,gettothegym.com,no,,,1,customerservice@gettothegym.com,showing_email_candidates,not_flagged,,5,customerservice@gettothegym.com,,,,,customerservice@gettothegym.com,,customerservice@gettothegym.com,valid=1; invalid=0; risky=0; unknown=0
873,4525700,totalsafes.co.uk,no,,,1,info@totalsafes.co.uk,showing_email_candidates,not_flagged,,4,info@totalsafes.co.uk,,,,,info@totalsafes.co.uk,,info@totalsafes.co.uk,valid=1; invalid=0; risky=0; unknown=0
907,4695061,finestshops.com,no,,,1,sales@finestshops.com,showing_email_candidates,not_flagged,,6,sales@finestshops.com,,,,,sales@finestshops.com,,sales@finestshops.com,valid=1; invalid=0; risky=0; unknown=0
910,4717812,stanchem-inc.com,no,,,4,auchy@stanchem-inc.com ; cnye@stanchem-inc.com ; csullivan@stanchem-inc.com ; info@stanchem-inc.com,showing_email_candidates,not_flagged,,1,info@stanchem-inc.com,,,,auchy@stanchem-inc.com ; cnye@stanchem-inc.com ; csullivan@stanchem-inc.com,info@stanchem-inc.com,,info@stanchem-inc.com,valid=1; invalid=0; risky=0; unknown=0
964,5018163,awsr.be,no,,,9,avr@awsr.be ; comm@awsr.be ; dac@awsr.be ; formation@awsr.be ; info@awsr.be ; info@mobilit.fgov.be ; mobilite.infrastructures@spw.wallonie.be ; rdvpedagogique@awsr.be ; stat@awsr.be,showing_email_candidates,not_flagged,,7,info@awsr.be,,,,avr@awsr.be ; comm@awsr.be ; dac@awsr.be ; formation@awsr.be ; info@mobilit.fgov.be ; mobilite.infrastructures@spw.wallonie.be ; rdvpedagogique@awsr.be ; stat@awsr.be,info@awsr.be,,info@awsr.be,valid=1; invalid=0; risky=0; unknown=0
969,5075474,idealabsconsulting.com,no,,,2,info@example.com ; info@idealabsconsulting.com,showing_email_candidates,not_flagged,,5,info@idealabsconsulting.com,,,,info@example.com,info@idealabsconsulting.com,,info@idealabsconsulting.com,valid=1; invalid=0; risky=0; unknown=0
981,5178356,softtrader.nl,yes,,,1,info@softtrader.nl,showing_email_candidates,not_flagged,,3,info@softtrader.nl,,,,,info@softtrader.nl,,info@softtrader.nl,valid=1; invalid=0; risky=0; unknown=0
994,5242924,lanoirsaddleworld.com.au,no,,,1,info@lanoirsaddleworld.com.au,showing_email_candidates,not_flagged,,1,info@lanoirsaddleworld.com.au,,,,,info@lanoirsaddleworld.com.au,,info@lanoirsaddleworld.com.au,valid=1; invalid=0; risky=0; unknown=0
996,5256627,crossfit536.ie,no,,,1,info@crossfit536.ie,showing_email_candidates,not_flagged,,6,info@crossfit536.ie,,,,,info@crossfit536.ie,,info@crossfit536.ie,valid=1; invalid=0; risky=0; unknown=0
999,5265125,eyelaser.ch,no,,,1,info@eyelaser.ch,showing_email_candidates,not_flagged,,7,info@eyelaser.ch,,,,,info@eyelaser.ch,,info@eyelaser.ch,valid=1; invalid=0; risky=0; unknown=0
1004,5285227,collinsdental.com,yes,,,1,info@collinsdental.com,showing_email_candidates,not_flagged,,6,info@collinsdental.com,,,,,info@collinsdental.com,,info@collinsdental.com,valid=1; invalid=0; risky=0; unknown=0
1006,5289192,alternativeballistics.com,no,,,1,info@alternativeballistics.com,showing_email_candidates,not_flagged,,5,info@alternativeballistics.com,,,,,info@alternativeballistics.com,,info@alternativeballistics.com,valid=1; invalid=0; risky=0; unknown=0
1008,5324302,zuidema.nl,no,,,1,info@zuidema.nl,showing_email_candidates,not_flagged,,1,info@zuidema.nl,,,,,info@zuidema.nl,,info@zuidema.nl,valid=1; invalid=0; risky=0; unknown=0
1017,5357391,adsystems.es,no,,,1,info@adsystems.es,showing_email_candidates,not_flagged,,3,info@adsystems.es,,,,,info@adsystems.es,,info@adsystems.es,valid=1; invalid=0; risky=0; unknown=0
1019,5360365,sould.se,no,,,13,business@sould.se ; christian@sould.se ; david@sould.se ; elin@sould.se ; elvine@sould.se ; emanuel@sould.se ; filippa@sould.se ; info@sould.se ; jakob@sould.se ; jobs@sould.se ; kajsa@sould.se ; praktik@sould.se ; sara@sould.se,showing_email_candidates,not_flagged,,7,info@sould.se ; jobs@sould.se,,,,business@sould.se ; christian@sould.se ; david@sould.se ; elin@sould.se ; elvine@sould.se ; emanuel@sould.se ; filippa@sould.se ; jakob@sould.se ; kajsa@sould.se ; praktik@sould.se ; sara@sould.se,info@sould.se ; jobs@sould.se,,info@sould.se ; jobs@sould.se,valid=2; invalid=0; risky=0; unknown=0
1022,5380112,duxpaint.com,no,,,3,bea@duxpaint.com ; info@835272b8b4.nxcli.io ; info@duxpaint.com,showing_email_candidates,not_flagged,,7,info@duxpaint.com,,,,bea@duxpaint.com ; info@835272b8b4.nxcli.io,info@duxpaint.com,,info@duxpaint.com,valid=1; invalid=0; risky=0; unknown=0
1024,5386867,goldenwestmachine.com,no,,,7,dan@goldenwestmachine.com ; nick@goldenwestmachine.com ; sales@goldenwestmachine.com ; sarah@goldenwestmachine.com ; shane@goldenwestmachine.com ; simone@goldenwestmachine.com ; stephen@goldenwestmachine.com,showing_email_candidates,not_flagged,,1,sales@goldenwestmachine.com,,,,dan@goldenwestmachine.com ; nick@goldenwestmachine.com ; sarah@goldenwestmachine.com ; shane@goldenwestmachine.com ; simone@goldenwestmachine.com ; stephen@goldenwestmachine.com,sales@goldenwestmachine.com,,sales@goldenwestmachine.com,valid=1; invalid=0; risky=0; unknown=0
1035,5430894,prinsloozeeman.co.za,no,,,1,info@prinsloozeeman.co.za,showing_email_candidates,not_flagged,,2,info@prinsloozeeman.co.za,,,,,info@prinsloozeeman.co.za,,info@prinsloozeeman.co.za,valid=1; invalid=0; risky=0; unknown=0
1042,5450682,evologi.it,yes,,,2,jobs@evologi.it ; support@evologi.it,showing_email_candidates,not_flagged,,7,jobs@evologi.it ; support@evologi.it,,,,,jobs@evologi.it ; support@evologi.it,,support@evologi.it,valid=1; invalid=1; risky=0; unknown=0
1084,5660378,faberlab.org,no,,,1,info@faberlab.org,showing_email_candidates,not_flagged,,7,info@faberlab.org,,,,,info@faberlab.org,,info@faberlab.org,valid=1; invalid=0; risky=0; unknown=0
1087,5700306,clcvecta.nl,no,,,1,info@clcvecta.nl,showing_email_candidates,not_flagged,,1,info@clcvecta.nl,,,,,info@clcvecta.nl,,info@clcvecta.nl,valid=1; invalid=0; risky=0; unknown=0
1109,5793609,lafayetteinstrument.com,no,,,6,brian@lafayetteinstrument.com ; info@lafayetteinstrument.com ; market@lafayetteinstrument.com ; polygraph@lafayetteinstrument.com ; sales@lafayetteinstrument.com ; techsupport@alzet.com,showing_email_candidates,not_flagged,,3,info@lafayetteinstrument.com ; sales@lafayetteinstrument.com,,,,brian@lafayetteinstrument.com ; market@lafayetteinstrument.com ; polygraph@lafayetteinstrument.com ; techsupport@alzet.com,info@lafayetteinstrument.com ; sales@lafayetteinstrument.com,,info@lafayetteinstrument.com ; sales@lafayetteinstrument.com,valid=2; invalid=0; risky=0; unknown=0
1111,5806717,lezu.com,no,,,2,info@lezu.com ; patricia@lezu.com,showing_email_candidates,not_flagged,,2,info@lezu.com,,,,patricia@lezu.com,info@lezu.com,,info@lezu.com,valid=1; invalid=0; risky=0; unknown=0
1124,5855685,webforce.be,yes,,,1,support@webforce.be,showing_email_candidates,not_flagged,,6,support@webforce.be,,,,,support@webforce.be,,support@webforce.be,valid=1; invalid=0; risky=0; unknown=0
1168,6089030,darveen.com,no,,,1,sales@darveen.com,showing_email_candidates,not_flagged,,7,sales@darveen.com,,,,,sales@darveen.com,,sales@darveen.com,valid=1; invalid=0; risky=0; unknown=0
1181,6175011,creativezinkin.com,no,,,1,info@creativezinkin.com,showing_email_candidates,not_flagged,,5,info@creativezinkin.com,,,,,info@creativezinkin.com,,info@creativezinkin.com,valid=1; invalid=0; risky=0; unknown=0
1186,6193936,victoriabauman.com,no,,,1,hello@victoriabauman.com,showing_email_candidates,not_flagged,,2,hello@victoriabauman.com,,,,,hello@victoriabauman.com,,hello@victoriabauman.com,valid=1; invalid=0; risky=0; unknown=0
1187,6195227,symetri.co.uk,no,,,3,henrik.munk.madsen@symetri.com ; info@symetri.co.uk ; support@symetri.co.uk,showing_email_candidates,not_flagged,,7,info@symetri.co.uk ; support@symetri.co.uk,,,,henrik.munk.madsen@symetri.com,info@symetri.co.uk ; support@symetri.co.uk,,info@symetri.co.uk ; support@symetri.co.uk,valid=2; invalid=0; risky=0; unknown=0
1189,6206408,valipac.be,no,,,2,customer@valipac.be ; info@valipac.be,showing_email_candidates,not_flagged,,3,customer@valipac.be ; info@valipac.be,,,,,customer@valipac.be ; info@valipac.be,,customer@valipac.be ; info@valipac.be,valid=2; invalid=0; risky=0; unknown=0
1191,6211081,theitalianacademy.com,no,,,1,info@theitalianacademy.com,showing_email_candidates,not_flagged,,7,info@theitalianacademy.com,,,,,info@theitalianacademy.com,,info@theitalianacademy.com,valid=1; invalid=0; risky=0; unknown=0
1196,6248706,astonmartinbrussels.com,no,,,1,info@astonmartinbrussels.com,showing_email_candidates,not_flagged,,3,info@astonmartinbrussels.com,,,,,info@astonmartinbrussels.com,,info@astonmartinbrussels.com,valid=1; invalid=0; risky=0; unknown=0
1197,6252944,medicalfitness.ch,no,,,1,info@medicalfitness.ch,showing_email_candidates,not_flagged,,1,info@medicalfitness.ch,,,,,info@medicalfitness.ch,,info@medicalfitness.ch,valid=1; invalid=0; risky=0; unknown=0
1229,6360859,naturalsmiles.co.uk,no,,,2,info@naturalsmiles.co.uk ; smile@naturalsmiles.co.uk,showing_email_candidates,not_flagged,,1,info@naturalsmiles.co.uk,,,,smile@naturalsmiles.co.uk,info@naturalsmiles.co.uk,,info@naturalsmiles.co.uk,valid=1; invalid=0; risky=0; unknown=0
1237,6372222,bagnesimmobilier.ch,yes,,,1,info@bagnesimmobilier.ch,showing_email_candidates,not_flagged,,2,info@bagnesimmobilier.ch,,,,,info@bagnesimmobilier.ch,,info@bagnesimmobilier.ch,valid=1; invalid=0; risky=0; unknown=0
1238,6375603,zipxpress.net,no,,,2,pricing@zipxpress.net ; sales@zipxpress.net,showing_email_candidates,not_flagged,,7,sales@zipxpress.net,,,,pricing@zipxpress.net,sales@zipxpress.net,,sales@zipxpress.net,valid=1; invalid=0; risky=0; unknown=0
1244,6399464,keet.com,no,,,1,info@keet.com,showing_email_candidates,not_flagged,,1,info@keet.com,,,,,info@keet.com,,info@keet.com,valid=1; invalid=0; risky=0; unknown=0
1264,6533520,atlassuites.com,yes,,,1,info@atlassuites.com,showing_email_candidates,not_flagged,,1,info@atlassuites.com,,,,,info@atlassuites.com,,info@atlassuites.com,valid=1; invalid=0; risky=0; unknown=0
1271,6557776,espressodeck.com,no,,,1,info@espressodeck.com,showing_email_candidates,not_flagged,,6,info@espressodeck.com,,,,,info@espressodeck.com,,info@espressodeck.com,valid=1; invalid=0; risky=0; unknown=0
